sample_id,reference,hypothesis,wer,cer
0,“Maanib bi ke ipiih i aapihkpaal cha i wɔŋ ŋijoo ponn ni na la.,"Maanụ bụ nke ịpị, ị apụkwa chaa ịwọ n'iji ọpọnụ na",0.9286,0.5625
1,Li cha aate ni aana aah nan chaa ŋiwaa aabɔnabr bi chee na.,Ncha atenu ana ana ncha nụwa abụọ na abụọ,1.0,0.5
2,"Isakar ŋichur piiŋmu ni ŋinaa, ni ikui inaa.",i sị aka? M ga-achọkwa ịhụ nwanne gị na-ekwe ịna.,1.25,0.7143
3,Binib ngem mu bi ke njikaabim mu lir ikokon ponn ni na la.,Bụ nụmfọ bụba mụ nani ndị bium mụ nụ ikumkwaị apụlụ nụ,1.0,0.7778
4,Kina pu le Ahab kuun Israel aanib mɔmɔk ni liwaal Baal aawaadam ke bi keln tɔb Kamel Aajool paab.,"Kene a pulu ahia kun Izra'il anomomo, n'eluwa bu awa Adam ke bekelu ntopu kamelu ajolu pa.",0.9474,0.4103
5,"Ni lik ke kitiŋ ngbaan bi kinye, ki lik ke binib biŋa bi ki ponn ni, ki lik ke bi kpa mpɔɔn kinye.",,,
6,"Le ni saa tikur tiwae yoonn, le u ki buen kinyaŋ ni ki ti mui bijab bibaa si nima, kaa kpa lituln libaa.",le n'enfo tukudu we ayo le ujon kenyan yi kita mi beja beba sini ya kajuo tuon le ba,0.913,0.4684
7,"Tisufar ngbaan aabil le ye liwaatiir, ŋibil mɔmɔk filk jer lima la.",n'ap tumuwar muna le ulen ke ai ni jiena niye ni n'ap tumuwar mon ke ni ba ke idi iba mu,1.6667,0.9074
8,"Cha binib bi kpokl m pu na aalan ŋmal, aan bi fenn bipuwɔb.","Chineke bụ mpụta na-ala nwa, a mụrụ ya bụ nwa.",1.0,0.6444
9,"Aaronn ni uyaabitiib mɔmɔk ga li joo nkaal ngbaan kina, le ki cha n‑yoonn mu kaa kpa ndoon na.","Ndeewo, unu ya abụọ timọọ. Galu njọ nke a gba nkịtị na. Lekachaa inyo mụ ka akpa ndụ ụnọ.",1.0,0.5205
10,"“Libiln ni kan, ni dan ki nan doon min, nimi Israel yaab Aadindaan Uwumbɔr, u ni dii u na, nfum mutaa.","Liberté, égalité, fraternité.",1.0,0.8553
11,"Bi dak ke ni ga duun la, ni yaa kaa ye kina kan, u ga kpo.",na ye,0.9375,0.9
12,"Moses yaa ti koo li ponn ni kan, le ntaalangbam dan nan sil Libool ngbaan aabisamɔb, le Uwumbɔr len Moses chee tibɔr ntaalangbam ngbaan ponn ni.",Moses ya tukwuru unu ka le nu taa na ngbamdana n'elu ugwu ngba abisa mụ Le unu ngba elu Moses chetu bụ nu taa na ngba ngba,0.9615,0.431
13,"Le butɔb aajab aaninkpel Julius gee Pɔɔl aabɔr, ki cha u buen ujɔtiib chee nima, u ti kan waah ban pu na.",Kedu ka onye ọjọọ ti bịa n'ịhà? Nwoke ka ịwa abalị.,1.0,0.7778
14,Pɔɔl aah tuk Ubɔr Agripa waabamɔn pu na.,"Paul ka gbe, o gba agripa, o ba mu",1.0,0.5625
15,"Le u ga gaa bi lii na kpa mpɔɔn, waayimbil le ye Uwumbɔr Mpɔɔnsakpiindaan.",Nke ugaga bili na mkpa mkpa wa ayi mbili ye umu mkpa nsakwinda.,1.0,0.3729
16,"Bi yaa kan limukl ti pu kan, bee binib yaa ŋa bi falaa ti pu kan, libuul ngbaan ni, le bi ga di ti lii.",,,
17,"Le u ti bui ubɔr ke, “Nte ni nkpetiib fuu ni a.","Na otu bu ubochi, mte na nkweti fu na",1.0,0.4848
18,"U nan ŋman le ki nyun nnyun, le ki ki gir doon.","O nang may, la konyu inyu, la ki",0.9167,0.5294
19,"Ni di tikumann ŋmeen ŋa tiwan ni mɔmɔk ni joo tun lituln Libool ngbaan ni na, ni laakpaa mu.",ne di tukwalu mwe na tuwa nu momo ne ju otu le otu le bu ngwa ani na ne le akwa,1.0,0.4722
20,"Uwumbɔr aabɔnabr, u bi nan yin u ke Elaija, aan u nyan ni Tisbe aatiŋ ki bi Gilead ni na le nan bui Ubɔr Ahab ke, “M ye timi Israel yaab Aadindaan Uwumbɔr u bi na aatutunn.","Ugbọr abali na-abụọ, obi na-nyị Ụka Elijah, a unyene test be atịm ka bi gi ilia nịna. Na na mgbe ụgbọr ahabụọ, nye tumị Izuria adị nda ụgbọr ụbịna atọtụ",0.973,0.5191
21,"Uwumbɔr len ke, “Tak Merataim ni Pekod aatim aanib man.",Tell me the time.,1.0,0.814
22,"Le Uwumbɔr aatuun ngbaan bui u, “Fii ki yoor ubo ngbaan ni una ki gir buen Juu yaab aatiŋ ni.","Dut in dawo mboro tuwon biyu, fiki yuro ka bugu mwan nu unam meri, ke jit ke jo jo yawo atin",1.05,0.7042
23,U joo limɔyiir le kpae titunwanbir pu; le ki ŋani Uwumbɔr mbɔnyun ti mɔmɔk aanimbil ni.,Ujo ni ma yi le pe ti tuo mri pu. Le ki nga ni wu gba nyi ti ma mu ani mbe ni.,1.0625,0.4286
24,"David aataani ubaa u, u nan tun na le ye Hef aanii Uria aabɔr na baanja.",David Atani Uba Umuantuna leye Heif ani Uria agbar na Bende,0.8125,0.2727
25,"N‑yoonn mumɔk paa ni na, ni li tii Uwumbɔr njan aamaab u ni ken na kina cha.",na leti unu mgbede oma unu kele na-akle,0.9412,0.7193
26,"Waah kpa kikumɔŋ ke likaakul ki bi ke nkun na, waa babr tiwan nibaa, le ki nyaŋni ŋitimbol ki chur binib mɔmɔk tinaagbiir.","wa kpokwuru m nke a ka akulụ, kị bụkwa nke nnụa. wa bụ abụtụwa nụ ba. leekị nyaa nụ ngị tumbụlụ, kị chụrụbụ nụ mọmọ tị na agwị",1.2174,0.4948
27,"Ni ŋa idɔja iloob ki di ŋa Libool ngbaan aawilir, lipuwɔb, aan ki ŋa idɔja ilee siin ŋigulɔ mɔk ni.","Nna m a, i doja ịlụ, kedụ ngalaba a weliri le puo? A na m ka m na-ịdoja ịlesị ngụlụ ọrụ",1.05,0.6104
28,U nan bi ki ti saa ŋibin ikui itaa ni imonko itaa ni ŋiŋmu.,"Nnam bu Kanda sa, nna be Ikwe taa na Imo nke ita na Ngwa",1.0,0.5333
