sample_id,reference,hypothesis,wer,cer
0,"Ka maa bare ba ne a kɔŋ ka ba kulo, ba na yĩĩe la a sobiriŋ, bonso, ba mine yi la tentɔbɔ a wa.",Ka maam barbanne akon ka ba kulo. Banayele asobiri bonso. Bonme nayele tintobo,0.7917,0.3088
1,"Yɛ puoro korɔ te meŋ a yɛ puoruu poɔ ka Naaŋmen yuo sori ko te ka te moɔle a Kirista yelsɔglaa na eŋɛ N naŋ be a nempagdie poɔ, ka ka N na toɔ̃ manne a weliweli ka a sãã a seŋ N naŋ na manne a lɛ.",ya puru kuro na ime ya puru puo ka na amu na iyo soro kute ka muo na akwukwo ya na soro ana ine inna mbe ani mpa di ya puo ka ka ana tuom ma na welu welu ka asa asen inna na ma na,0.9375,0.4658
2,"A Yeezu naŋ da gɛrɛ Gyɛruzɛlɛm, O da kpɛ la a teŋkponni ane a tembilii poore a kanna a noba gɛrɛ.","A yie zu na n da gare Jeruzalem, o da pella atimponni, ani atimbili puori akanna annu bagera.",0.9048,0.32
3,A Naaŋmen Bagmaale Wederebɛ Nembɛrɛ Zusoba Naŋ Soore Yeezu Soorebie.,angla ka ya buoro. Kaba da yele? Jesu Nayi Nazarene. Ka Jesu,1.2,0.7759
4,"A yelderebɛ naŋ yi a be naŋ da wa woŋ a te yɛlɛ, ba da yi la Apeyo Daa Poɔ ane Teree Taavens ka ba tuori te.",A yi Eldoret nanda yi a be nanda wowo a ti yela ba da yi la apeyo da puo ani 3000 ka ba tuori,0.5556,0.3875
5,"Azuiŋ, yɛ ta daŋ di sɛrɛɛ kyɛ ka a saŋ ba ta; kyɛ ka a Daana waabo naŋ ba ta sɛre.",Azu yeta dan disere cheka sang bata cheka dana wa na bata,1.0,0.4407
6,"O naŋ da wa pɔge te a Azɔ poɔ, o da kpɛ la a gbori ka te gaa Mitelen.","na na wa porte a Azopua, o da kwelle gbori ka ti ga meeting",0.6842,0.4082
7,"Ba da lɔɔ o la bare ka o sigi wa a teŋɛzu, a lɔɔ a o malekere meŋ poɔ o eŋɛ.",Bàdàlò ʊlà bàrèkà ʊsìgìwà àtìngè zù. Àlò àwù màl kàrè mèm pùò ʊ̀ ìn,1.0,0.6667
8,"Ka a toŋkpeɛne ama naŋ toŋ fo poɔ, da toŋ Sodom teŋɛ poɔ, o da na kyɛnɛ bebe la wa ta zenɛ.",Ka tun piyan ama na tun fupuo da tun sodom tinga puo oda na kyenna bebela awato,0.7727,0.4627
9,"Azuiŋ, yɛ tɔglɔ Naaŋmen yɛ naŋ waa O poyɛŋ biiri, a taa nɔmmo aŋa lɛ a Kirista naŋ da nɔŋ te lɛ, a de O meŋɛ tere ka ba maale ne bagre naŋ nyuuro noɔ Naaŋmen zie.","A zie, yɛ tɔlɔ na amini, yɛ na wa opu yɛn biiri, ata nɔmu anale akirista na nda nɔn tile, adu omenetiri kaba mbaali ni bagri na nyuuro nuo na amini",0.9459,0.2869
10,"A banaŋ naŋ da zo yaare da yi yoɔrɔ la, a moɔlɔ a yelbiri.",anana de zoyare de yi yuor la a muola a yelbir,0.7143,0.3256
11,"N poyɛŋ noba, nɔpaalaa naane ka N sɛgrɛ korɔ yɛ, kyɛ a nɔkoraa na yɛ naŋ da taa yi a piiluu saŋ la.",N pa la na ne ka n sagre kroya. Che a no kro ana ye na da ta yi a pilu sanga.,0.7391,0.4324
12,"” Ka Yeezu da yeli, “Yɛ e ka a noba zeŋ teŋɛ.","Moo yiri de bele aziye ka anu ba da zinte, anu ba za da tanga turu anu. Lele ka Yezu da di a boroboro apuori na amen barka. Te di pong anu ba na ndase.",2.8182,3.1667
13,Wola pãã ka a weɛ soba na e a wɛkaareba ŋa?,wula pa ka wia soba na a we karba,0.6364,0.375
14,"Ba naŋ wa te kpeɛrɛ a die, ba da nyɛ la a bie ne O ma Mareya, ka ba da gbi dumo a puori O ne emmo, kyɛ yuo ba woore a ko O kyɔɔtaare; salema, ensɛnse ane turaali.","Salma, incense ani turare",1.0,0.8644
15,Ona la boɔrɔ ka neɛzaa nyɛ faabo a kyɛ wa baŋ a yelmeŋɛ.,Anya faabo. Acha wa ban ayelmen,0.8462,0.5581
16,"O naŋ da wono tuo, O da ba yeli yɛlɛ tɔ dabeɛ̃ eŋ neɛzaa; kyɛ O da dɛle la a soba na naŋ maŋ di sɛrɛɛ ne mennoŋ.","Naa na wuo tuo, o da ba yiele yiele to da bie eng nie zaa. Cɛ o da de la asubunna na maŋ di sere ne mɛnnuo.",0.6786,0.3827
17,"O naŋ da wa ta a mane noɔre, O da nyɛ la nembeɛoŋ ka ba nembaaloŋ kpɛ O yaga, ka O da saŋ a ba baalba.",O na da wa titta a mannuwar. O da nyala ni mbeu kaba ni mbalu kpeo yaga. Ka o da san a ba,0.5385,0.3514
