sample_id,reference,hypothesis,wer,cer
0,Mo̱ne̱ i ŋu mbo̱gya na de̱e̱kpa na e̱bɔɔre̱e̱ bwe̱e̱tɔ.,mịnịhụ mgbe dịa na dịkwa na Igbo ọrịgbo,0.7778,0.6389
1,Kukyure kake ko̱ be̱e̱ ne̱ Yeesuu a be̱e̱ yɔ ke̱bware̱ko̱re̱kyaŋ‑nɔ ya kaapo̱ abware̱se̱ŋ. Saŋ amo̱‑ɔ ɔnyare̱ ko̱ mɔ bo̱ mfe̱ŋ na mò̱ kigyisesare̱e̱ a wu.,O chukwu ka o kobe na ihe a bu ihe o gbarukuru cha nno ya ka apu agbarisi. N'ihi na o ya bu mbu na mu jisi siri ya,1.04,0.6095
2,"Ne̱ Ɔbɔnsam ne̱ bo̱ be̱e̱ ba te̱e̱ mò̱ ɛ Ɔkyɔrɔpo̱‑ɔ a ba mò̱ ase̱. Ne̱ ɔ yɛ, “Fo̱ i nyi fe̱yɛ Wuribware̱ mò̱ gyi‑o e̱ gye̱ fo̱ kase̱ŋtiŋ, amo̱ fe̱raa sa a abu mɔ buruwi bodobodoo sa fo̱ a fo̱ gyi.”","ne ogbanje m ne obi baa n'ime ochoro kwa baa m'asi. Ne oye. Finyi fie, wuru baari n'ije eje fu ka si m tim. Anafra ta abum ogburu ugbo dobodo sefa fiji",0.9512,0.4762
3,"Se̱sɛ ne̱ Wuribware̱ a kufwiiŋe‑o te mò̱ kakpo̱nɔ‑rɔ‑ɔ e̱ taare̱ a o nu atɔ mɔ pɛɛɛ kaase̱, amaa ɔko̱ ne̱ mò̱ kufwiiŋe‑o mo̱ŋ te mò̱‑rɔ‑ɔ maa taare̱ a o ŋu ke̱tɔ ne̱ ke̱ bo̱ ane̱ŋ a se̱sɛ‑ɔ kakpo̱nɔ‑rɔ‑ɔ.","Sabi na ụgbọala kwụfụ inwe ntụrụndụ ka akwụna ọrụ, etara onu atọ mpe ka si, ama okwu na mụ kwụfụ inwe m ntụrụndụ ma etara onwu kita ni, ka bụ anụghị sọsọ ka akwụna ọrụ.",1.0,0.6148
4,"Mo̱ e̱ tɔwe̱ mo̱ i gywii mo̱ne̱ fe̱yɛ fo̱ i di tiikpa mfe̱ŋ ane̱ŋ‑aaa bo̱ fo̱ saŋ ne̱ fo̱ e̱ ka fo̱ ko̱kɔ a fo̱ lo̱we̱‑ɔ, na paso̱wa gbaa mo̱ŋ saŋ‑ɔ.”","Mị tawa a ingi mụ na ịfe ya, ịdịti kwa ịfụnanya, bụfụsa na ịfe ka ụkọkọ a fụlụọ na kọbọ gwa mụ nsogbu.",0.9032,0.6087
5,"Saŋ ne̱ Yeesuu e̱ tɔwe̱ amo̱‑ɔ, ne̱ kabɔɔ ko̱ a le̱e̱ Yayerus a lɔŋ‑ɔ‑rɔ bo̱ tɔwe̱ gywii Yayerus fe̱yɛ, “Fo̱ kakye̱e̱sɛɛ‑ɔ a wu, amo̱se̱‑ɔ fo̱ ma lɛɛ sa a ɔkaapo̱po̱‑ɔ kpo̱ne̱ mò̱ e̱ye̱e̱.”",Nna anyị bụ otu a mụrụ na Kabọkwa bụrụ ịya bụrụ saa lụọ ọlụ otu ji ịya bụrụ ise. Ọ ka chi sịa wụ amaghị m ma ọ bụ mụ ka ọkwa bụọ kwene ma ọ bụ ịya.,1.1212,0.725
6,"Ne̱ Yeesuu yɛ, “Mo̱ne̱ ya ko̱re̱ Wuribware̱ atɔ, mo̱ne̱ e̱ nya ke̱tɔ ne̱ mo̱ne̱ e̱ kpa‑ɔ. Mo̱ne̱ ya buwi kpa Wuribware̱ a e̱kpa‑ɔ, mo̱ne̱ i ŋu ke̱tɔ ne̱ mo̱ne̱ e̱ kpa‑ɔ. Mo̱ne̱ ya ye̱re̱ kawu te̱e̱ mò̱, ɔ taye̱ po̱ne̱‑ɔ, na mo̱nꞌ nya lweero.",Mene akuru uba na ato. Mene nya katanu ma na ikpo. Mene ya bu uba na ikpo. Mene ngo katanu ma na ikpo. Mene ya iri ka uti mu. Ota ipu no na ma nya,0.8864,0.5436
7,Ne̱ agyase̱po̱ anyɔ amo̱ a ya waa ane̱ŋ ne̱ Yeesuu a tɔwe̱ gywii bamo̱ fe̱yɛ bo̱ waa‑ɔ.,"Me agya Joseph ne Awurade Yesu Kristo gyidie, bɔ me fie buwiem.",0.9412,0.6271
8,"Amaa ke̱tɔ ko̱ e̱ bo̱‑rɔ na ko̱ kyɔ ne̱ mo̱ne̱ e̱ kpa fe̱raa, amɔ mo̱nꞌ lɔŋŋɔ mfe̱ŋ ne̱ maŋ agyi e̱ gyaŋŋe̱ ba waa mbraa ba sa maŋ‑ɔ.","Ammá, kútá kwí búró ná kwíchó ní m'ní kwá fura. Amó, amúró m'kwa íjí m'fú ní m'ma m'jí íjá gí báwa m'bura bááta m'ma.",1.0,0.6667
9,"Amo̱ fe̱raa, bamo̱ ne̱ bo̱ mo̱ŋ gye̱ Yudaa awuye‑o a nu ane̱ŋ‑ɔ, ne̱ baa kyo̱rɔ ke̱tɔ ne̱ Wuribware̱ a tɔwe̱‑ɔ. Ne̱ bamo̱ ne̱ Wuribware̱ a kyɔ lee fe̱yɛ bo̱ nya ŋkpa na kukyure ne̱ a mo̱ŋ de kɛɛ‑ɔ a kii Yeesuu akɔɔre̱gyipo̱.",Bụ mụ na gị bụ ndị Juuda abụọ anọ anọ na-abachara kitaa na ụlọ ụka anyị a tọọ. Na abam na ụlọ ụka a chọrọ ilefee bịa nkwana kwuchiri na amamihe nke a akwụkwọ Nsọ Jisọs Kraist.,0.9286,0.7285
10,"Bo̱ le̱e̱ fe̱yɛ ɔke̱maa ne̱ o bu mò̱ e̱ye̱e̱ ke̱dabe̱‑ɔ, mò̱ ne̱ Wuribware̱ e̱ baa kaase̱. Ne̱ ɔke̱maa mɔ ne̱ ɔ baa mò̱ e̱ye̱e̱ kaase̱‑ɔ, Wuribware̱ e̱ sa mò̱ ke̱dabe̱.”","Bia, ife a, ọkuman ọbụ mụ na ya ka dabọ. Mana ọ bụrụ gị na ya eba ka a sị, na ọkụma mụ na ọbụ mụ na ya ka asụ, ọ bụrụ gị na ya sọ mụ ka dabọ.",1.3,0.6019
11,"Mo̱ne̱ a mo̱ŋ taare̱ ba kase̱ŋtiŋ bo̱ kra kaye̱‑rɔ atɔ timaa‑o, e̱me̱ne̱ ne̱ Wuribware̱ e̱ waa na ɔ taa so̱so̱ a atɔ timaa kase̱ŋtiŋ‑o bo̱ sa mo̱ne̱ a mo̱nꞌ kra?","Bụ na mụ anaghị aghọta ihe kpatara na ị ka sị na ị bụ onye na-eme ihe nkiri, ebe na ọ bụghị gị bụ onye na-eme ihe nkiri.",1.0,0.7944
12,"Amo̱se̱‑ɔ, mbe̱yɔmɔ, mo̱nꞌ nare̱ me̱naŋ me̱naŋ ya tɔwe̱ gywii mò̱ agyase̱po̱‑ɔ fe̱yɛ Wuribware̱ a kyiŋŋi mò̱ le̱e̱ lowi‑ro, ne̱ mbe̱yɔmɔ ɔ gye̱ bamo̱ ŋkpɛɛ o yii Galile̱ya swe̱e̱re̱ se̱. Mfe̱ŋ‑ɔ ba ŋu mò̱. Mo̱ ase̱ŋ a lo̱we̱.”","Amaghi m ihe m ga-eme. M na-eche na m ga-akpọrọ ụmụ m laa obodo, na m ga-eme ọchịchọ m nke oyi karịrị asịrị. Ụmụ m, biko unu masịrị alọ.",1.0,0.7432
13,"Ane̱ Kristoo ayaa‑rɔ aye̱re̱po̱ fe̱raa, m be̱e̱ mo̱ e̱ tɔwe̱ fe̱yɛ ane̱ de te̱maa bwe̱e̱tɔ, ne̱ ane̱ e̱ yo̱rɔwe̱ bwe̱e̱tɔ fe̱yɛ ane̱ yɔwe̱ ane̱ ŋyo̱wɔre̱ bo̱ sii swe̱e̱re̱ mɔ se̱, na ane̱ yɔ pe̱ ane̱ nyaŋpe̱ Yeesuu ase̱.","A na-ekristo ayarọ ayarọ pụfụra, mbịmị tọwọfịa ya, a na-etị ma gbuo itọ. Nị a na-eyịrọwụ gbuo itọfịa ya, a na-iyọwụ a na-unyọrọbịsị sịrị mọsị na a na-iyọpị a na-nyampị ya esu asị.",0.9737,0.4929
14,"Bamo̱ ya waa amo̱‑ɔ, ba nya ko̱tɔko̱ a bo̱ bo̱ be̱ya sa bamo̱ e̱ye̱e̱, n gye̱ atanne̱ fe̱raa ne̱e̱, amaa a gye̱ kapo̱tɛɛ ne̱ ba ye̱re̱ se̱ a bo̱ bo̱ nya ŋkpa na kukyure ne̱ a mo̱ŋ de kɛɛ‑ɔ kase̱ŋtiŋ.","Bamyawa amụọ ba nyọkụta kwa bọbọ bịa sa bami eye, nje atanụ fụrụ anị ama aji ka pụte nị ba yịrị sa bọbọ nya nkpa na gụchịrị nị amụ ndị kịọ ka sịntụ.",0.875,0.4173
15,"Saŋ ne̱ bo̱ maa se̱ ba saŋŋe̱ kuruma‑o, ne̱ mò̱ wuye‑ana a bise fe̱yɛ, “Nte̱tɔ se̱ ne̱ mo̱ne̱ e̱ saŋŋe̱ kuruma‑o?”",,,
16,"Amo̱se̱‑ɔ ne̱ asoogyaa‑o a te̱ŋŋe̱ ife ne̱ kako̱re̱e̱gyii de‑ro‑o, ne̱ kako̱re̱e̱gyii‑o a se̱re̱ ka yii.",Amaghi m so. Na aso gi o aturu ife na ka kwuru ji deru. Na ka kwuru ji o athirika yi.,1.3333,0.5735
17,"Mfe̱ŋ ne̱ baa gyiiri bamo̱ e̱ko̱re̱e̱‑ɔ bo̱ be̱ya ke̱pare̱‑ɔ kideŋbe si, ne̱ baa yɔwe̱ ke̱tɔ ke̱maa, ne̱ baa gya Yeesuu si.",,,
18,"Fe̱yɛ ane̱ŋ ne̱ fo̱ fɔŋfɔŋ a ŋu‑o, a mo̱ŋ kyɔ ŋke kudu ŋnyɔ ne̱e̱ fe̱yɛ mo̱ a yɔ Yɛro̱salɛm a ŋ ya suŋ Wuribware̱ mò̱ suŋkpa mfe̱ŋ.","Ya mere, unu bughi umu nwanyi, a m cho nke kwuru nyo n'ife ya. Ma oburu Jerusalem, anyi asughi rugbari, m si nkwa nkwa",0.963,0.6742
19,"Ne̱ Simeyɔŋ a yure bamo̱, ne̱ ɔɔ tɔwe̱ gywii Mariya fe̱yɛ,","Né siméon Ayi Houéban, né au Togo, j'ai marié à",1.0,0.6585
20,"Ne̱ Yeesuu a buruwaa tɔwe̱ gywii lamaŋ ne̱ ba nu mò̱ ase̱ŋ‑ɔ fe̱yɛ, “Mo̱ne̱ ya ŋu awo̱re̱ a le̱e̱ kyɔwe̱ twɛɛkpa, amɔ mo̱ne̱ yɛ bware̱ e̱ kpa a ɔ ba, na kase̱ŋtiŋ ɔ ba.",Mụ na ya so buru ụzọ jee ụlọ mụ na ya bụ nụ ma sị gị ọfọdụ. Mụ na ya bụ nwoke a na-akpọ Tekpa. A mụ na ya gbara ikpa ọba na Kasetị mụ bụ,1.0294,0.5946
21,"Wuribware̱ so̱so̱ a ke̱laŋŋe̱rɔ‑ɔ e̱ laŋŋe̱ bamo̱ se̱, na bamo̱ aa Yeesuu e̱ tɔwe̱ ane̱ŋ ne̱ a ya saŋ kafwe̱e̱ fe̱yɛ o wu Yɛro̱salɛm maŋ‑nɔ ane̱ŋ ne̱ Wuribware̱ a kra fe̱yɛ o wu‑o.",Urubara sacak langro ilagro na batoubeji Yesu anani aya san kafite owu Jerusalem anani urubara akirafia owu,0.9697,0.5289
22,"Saŋ ne̱ ane̱ a fo̱ Roma maŋ‑nɔ‑ɔ, ne̱ baa sa Pɔɔl kpa fe̱yɛ ɔ ya kye̱na mfe̱ŋ ne̱ ɔ kpa‑ɔ, amaa baa lee soogyaanyi ko̱ ne̱ ɔ de̱e̱re̱ mò̱ se̱, na ɔ ma nya se̱re̱‑ɔ.",Nne anapu Rumangho na Bassapul kwafie ya. Waa chie na Mfinnokpo. Ama baa lesu ja nyikwu na odiri m si na umuanyasoro,0.9143,0.4952
23,"Mò̱ duŋ maa fwii, ne̱ ɔ mo̱ŋ de ɔko̱ do̱ŋdaa.",mụ duma ofu na ọmụ ndị ọkụ dọnda,1.0,0.5517
24,"Saŋ ne̱ Feesitus a ba Kaye̱sare̱ya maŋ‑nɔ bo̱ gyi mfe̱ŋ a swe̱e̱re̱‑ɔ se̱ kigominaa‑o, ke̱mo̱ ŋke nsa ne̱ ɔɔ le̱e̱ mfe̱ŋ yɔ Yɛro̱salɛm maŋ‑nɔ na ɔ ya ka Yudaa awuye agye̱ŋkpɛɛpo̱‑ɔ kanɔ.","Nke mbu, nke mbu, na olileanya Jerusalem na o ga-abụ Judah ga-adịkwa ka ọ na-adị.",0.9688,0.7769
25,"Ne̱ ke̱yaafɔre̱ nyɔse̱po̱‑ɔ a ba mò̱ nyaŋpe̱‑ɔ akatɔ‑rɔ, ne̱ ɔɔ tɔwe̱ gywii mò̱ fe̱yɛ, ‘Mo̱ nyaŋpe̱, ke̱e̱ siidii ŋkpe̱ŋ alafa anyɔ ne̱ fo̱ a taa bo̱ sa mo̱‑ɔ. Ŋkee be̱e̱ ke̱e̱ siidii ŋkpe̱ŋ alafa anyɔ ne̱ mo̱ a nya bo̱ tii si‑o.’",Na nke a bụkwa otu ụzọ isi nyere ndị ọrịa aka ịghara ịṅụ ọgwụ ọjọọ. Nke a bụkwa otu ụzọ isi nyere ndị ọrịa aka ịghara ịṅụ ọgwụ ọjọọ.,0.9524,0.8456
26,"N gye̱ ane̱ŋ, bamo̱ akatɔ i buŋŋi a bo̱ ŋu atɔ,","Mame emun bumbam akatase, amfra banwu ato. Bam emun",1.0,0.9032
27,"na bo̱ da mo̱ paara, na bo̱ mɔɔ mo̱. Amaa ke̱mo̱ ŋke nsa, mo̱ i kyiŋŋi a n le̱e̱ lowi‑ro.”","na abụ m adamma para, na abụ m mum, na m aka m nke nsa, mụ chịa, m lilọ ụwa",0.9,0.5714
28,"Mo̱ne̱ ne̱ ako̱ŋ e̱ mɔɔ mo̱ne̱ mbe̱yɔmɔ‑ɔ, mo̱ne̱ de ŋyure,",Mun gode da taimakon ku da kuka yi mana. Mun samu naka tijji.,1.3,1.027
