sample_id,reference,hypothesis,wer,cer
0,"Ɔluwɛ̃ ne, manɔ kulu lɛ ɔwiri nto ɔkpɛ̃ teteree kubɔrɛ i kato.","Oluwene, ma na-akuli ile owiri nto okwe ntetere kubura ya ikate",0.9167,0.383
1,"Yesu ɔre iti i sosina gu iwola ame, ɔbo maturi gu Ɣaa ɔɖuɖu anɔ.",Yesu ore eti so si na gu iwele ame. Ogboma trikwe ya odudu anu.,0.8571,0.3265
2,Ne ɔso ito me ɔkã teteree sɔ loasese wũ mi kɔrɛ sɔ so aaɣɔ mi si minya wũ fiɛ mme wũ wũ nnya ka miaro.,"na me ho ka teteere, so asɛm yi mu kyerɛ. Sɔsɔ ayɛ me si me nyaw, fie me wu wu nya ka me",0.88,0.4935
3,Boto bopɛ Ɣaa gɔ nɖe Bosate Yesu Kristo Ɔse siba sɔ ɔtã bo siwarã ame kusɛkusɛ biara gɔ lobɔrɛ i kato iki i bo mawɛ̃ ibaragu Kristo ame.,mbu tu wa pe a gon ne bosa te Yesu Kristi osesi ba so ota mbu si wura me kwusa kwusa ebiara golu buro ikato ike igbo ma nwe mbu ra gu Kristi,1.1429,0.3551
4,Alasɔ ɔwi gɔmɔ to ɔ̃aɖe kutsue ikpadzɛ̃ ɔwi lɛ kumɛgɔ i Ɔko Sekelea Ɔɣɛ ɔsɛ awe.,"A na-asị na ọ bụrụ na mmadụ adịghị kwuchie ikpa ji ya owuwe, leekwa mụ ego ole ọ kwesịrị ịla na ya ọsịlị a.",1.5,0.9677
5,Mme Yohanes lotsɛrɛ ɔko gɔgbe nto lotã mi mafɔɖedze akuri akɔdzɛ wa mpia i Asia karɔ̃ iso.,"Mme Johannes lochire Akwụgọ Gbe, ngalaba mmụta mmụọ dị na Mahadum BIU, asịrị ka ha ruo",0.9412,0.6111
6,"Gbaã ne, itɔ̃me bielea mama kuiwɛ̃ siina, ɣɛɛ mawɛ̃ to mabie sɔ makpɔkpɔtɔra mi si mafinikira Kristo Itɔ̃me Bielea.","bɔne, etumi biele ama makwɔi wɛnsi na, eh, ma etumi biele sɔ makpɔkpotuɔ mi si ma fini Kristo etumi biele.",0.8421,0.3444
7,"Gɔ manya sɔ Yesu masiaidze nɣɛ mato maɣɛ abuiti ɔɖuɖu wa ame mabɔrɛ siɖe ne, ibara ma ɣii.",Gọmentị anyị sọrọ Jesu masịrị ejị nwee ya ma tụọ ma ya agwịti ọdịdụ wa amema gburugburu ebe ni. Ibrahamị,1.1111,0.6901
8,"Ne Yesu ɔkarɛ ma sɔ, “Ɔnɔ miinɔ igbã nɛ karɔ̃?",Na Yesu o karima so. Ọnọ m'ịhụ nọ igba na ya karụ,1.1,0.4545
9,Ɔɖi bo ɔbɔrɛgu i Ɔbosam ɔle gɔ nɖe idududu ame ɔbɔ ɔ̃ Ɔbi ɖɔɛse sigarakaɖekɔ̃ ame.,"O diba o buru na i ga-abu o sem ole go na iju du du ame, o bughi na i gwa ya si si ka dikwa ha",1.5625,0.6094
10,"Ne ɔso bo wũ bofɔ boɖe sɔ Ɣaa aafɔ bo sɔ bose bɔlɔlɔ gɔ bofɔ Kristo boɖe ɔso, iiɖe kumɛgɔ bobara i mmara iso ɔso.","Nso bu mbu bu na eso, afo bu nso bu se bulolo, go bu fo kristo bu na eso, i de kumi go bu ibrahim mrai so",1.04,0.4943
11,"Ikɔ biara ne, Yesu maɣese sɛ masɛ Yerusalem maaɖe iyi nɛ masɛ marɔ sɔ Kukpi Ɔtakuwara Bo Iyi.","obiara ni, Yesu maye se masem Jerusalem, ma de iyi ne masem aroso kupi otakuworo agbo iyi",0.8889,0.2838
12,"Ɔ̃ loɖe ira biara iso fiɛ ɔto ɔbara karabara ɔkigu i ira biara ame, ɔpia i ira biara ame ana.","Olu de irabiyara iso, fia to bra karabra okigwi irabiyara ame. Opiya irabiyara ame",0.85,0.2676
13,"Ne ɔrɔ̃go ɔfɔ kanya sɔ, “Aĩ, sikã ɔɖuɖu mmɔ ne.",N'awụrụ gị ọfọ ka ya sọ. Anyị sị ka ọ dịdị,1.1,0.7273
