sample_id,reference,hypothesis,wer,cer
0,Esiane mʼankasa mʼanuonyam ne mʼakoa Dawid nti.,"Me saa na me nkasa ma enuo nyam, me ma akuo David",1.7143,0.375
1,” Ɔyɛɛ saa de adagyaw a nʼanan nso sisi fam dii akɔneaba.,"Yes, adey jaa na nan so sisi fam di akwoni aban.",0.9091,0.3864
2,"Munnue, mo a mode nnaadaa nhoma twetwe bɔne.",Monnye ma mo di na da ahoma twitwa bone.,1.0,0.2857
3,"Mommma mo werɛ mmfi sɛ mobɛyɛ mo ho mo ho papa aboaboa mo ho mo ho, efisɛ ɛno ne afɔrebɔ a ɛsɔ Onyankopɔn ani.","Mmomam were mfisha, mobayer mohumuhu papa, abua abua mohumuhu. Efi se eno ne afora eso Onyankopon",0.9167,0.3647
4,"Eye, na afei ananafo ano ne kasa foforo.",Na ɛfe anaanafoɔ ano ne kasa foforɔ,0.5,0.2581
5,Eyi di ho adanse sɛ na ɔyɛ onipa kɛse a Agya Abraham mpo tumi ma no nʼasade mu nkyɛmu du mu baako.,"Me dinwaa da nsɛnsɛn na ɔyɛ onipa kɛseɛ a, ɛgyaa me abrabɔ tumi m'ano na sadi mu nkyɛm du. Mebaako",0.6818,0.3026
6,Nkɔmhyɛ A Etia Arabia.,"Nkrumahia, Etia Arabia. Adihunu a efa Arabia",1.25,1.2222
7,na wɔde wɔn anofafa hyɛ me anuonyam.,"Ama ka kyerɛ no se, meserɛ wo Kinkankanyi a, wobɛbu aase, mennim Kinkan. Awurade ka se, saa nnipa yi de ano hunu chuu bɛɛ me, na wode won ano faafa hyɛ me anuonyam.",4.1429,3.3793
8,Yuda rehwe ase; wɔn nsɛm ne nneyɛe tia Awurade.,1788,1.0,1.0
9,Afei nguan bɛkɔ adidi te sɛnea wɔwɔ wɔn adidibea; nguantenmma bedidi wɔ asikafo amamfo so.,Nwa mbe kọọ edidi tise na awọwọwọ nwa edidi bia. Nwa nti mma be edidi wọ esika afọ ama mfusọ.,1.3333,0.4189
10,Monnka Hebri na nnipa a wɔwɔ ɔfasu no so no bɛte ase.,Mommra nka Hebrew na nnipa awowo ofeasu no subeti ase,0.75,0.3659
11,abɛpete trenee agu wo so.,abepeteɛ nni eguwusu. Na nso woduu etimadinyaba na wotwa ababɔne wodi na nna aba. Ebise wode wo ho atua wo ahwodi na wakofo wibiri no so.,4.8,4.6
12,"fii nʼakyirikyiri ntwea so, na mefrɛɛ wo.",Ne nkyerɛkyerɛmu ntwiase na mefrɛ,0.8571,0.4848
13,Ɔde dua no mu fa sɔ ogya; so na ɔnoa nʼaduan.,aduru animufo aso'ja so na onu no aduru,0.9091,0.4242
14,“Nanso Israelfo bɛyɛ sɛ mpoano nwea a wontumi nkan wɔn.,na nsɛnkyerɛnnefoɔ bɛyɛ sɛ mpoano nsuo a wontumi nka wo,0.5,0.3636
15,Wɔyɛɛ afoforo bi nso ayayade sɛ anka wɔmpa Onyankopɔn na wonnyaa wɔn.,Woyɛɛ afoforo bi nso a yɛɛadi saa nka. Wɔmpa Onyankopɔn na wɔn nyame awo.,0.6667,0.1754
16,"Muntwa nkɔ Tarsis; muntwa adwo, mo a mowɔ supɔw no so.","Mo mfa nkywataa sisesɛ, mo mfa nkywatoo mmaa mu wọ sukuu mu",1.0909,0.7561
17,"Memaa wɔn aduan no, wodi mee; wɔmee no, wɔyɛɛ ahantan; na wɔn werɛ fii me.","Me ma wo nwene dua nu, wudi me. Womene nu, woyɛ aha ntanga na wonwere fi me.",1.0667,0.3455
18,"oguamanfo a wɔnnkae wo; bɔ sankuten no yiye, to nnwom bebree.","Oguamfo a wonka ayuo, bosea nguti nni yi ye, tunyo mbebre.",0.9091,0.3333
19,"” Nanso na ɔhene no redwene sɛ, ne bere so de, obenya asomdwoe ne bammɔ.",Nanso na ɔhene no reju ni se ne bereso di obenyansunju yi ne ba mgbọ.,0.7143,0.2963
20,a ɛrentwa mu da.,ɛne nkyɛmu da,0.75,0.4167
21,"” Ɛnyɛ ɔno na ɔhene Hesekia atutu nʼabosonnan ne afɔremuka nyinaa, ahyɛ Yudafo sɛ wɔnsom wɔ afɔremuka a ɛwɔ Yerusalem ha nko ara so no?",Ɛnyɛ ɔnu na ɔhene Hezekia atutu n'abusuannaa na afɔremuka no nyinaa. Asafo Yuda afusee wosum wɔ afɔremuka ɛwɔ Yerusalem ha nku ara asu,0.5417,0.25
22,ahemfo somfo no; “Ahene behu wo na wɔasɔre.,Ahenfo nsɔm fɔnu. Ahenibehuo na wasore,0.875,0.2727
23,"Wɔka kyerɛɛ no se, “Sɛnea ɔhene Hesekia ka ni: Saa da yi yɛ ɔhaw, animka ne animguase da.","Meka kyerɛɛ no se, sɛneɛ Onyankopɔn Ezekiel kae ni, saa deɛ eyi yɛ ohaw, na mu kaa na mu gyina se",0.8333,0.4776
