sample_id,reference,hypothesis,wer,cer
0,"Ni di osuɔtɔ nwu nkpo lakaalɛ nwɔ alɛ, “Kɔmɛnfiofa?”",Nde voswa tonga la cale-cale.,1.0,0.725
1,"Bitambla lɛsaa le nimakpɔnɔnfɔsa ye ni kuninwii,","I tambla lesali, i makonvosa enku na inwi",1.1429,0.3659
2,"Bɛɛkpana di Kɔkpana Klekle Kukũ kamɛ alɛ, Saate nwu labu alɛ,",Beko na dico kuna click click uku kame ale. Sate wu labu ale,1.0909,0.4082
3,"Bitanta diate nkpo okle di kamɛ lee. Nse onwii lee komiɛ alɛ ale ɔnɔɔfo kaamɛ lee yi, ni dikpe ni eele kpɛmblatɛ ɛɛta babule.",Bitanta diatenko oklidi kameli. Nse onwile komi ale ale onofuka meli. Nidi kweni ele kwemlate e tababuli.,0.875,0.2727
4,Lɛsaa le di Kristo labuɛ aatɛ alɛ abata wo ni ninle nkpa be ninnaa ni kaloo.,lesale di Kristo la buye ate ale abata woni nile nkwabeni naani kalu,0.875,0.1833
5,"Yesu lakaalɛ ma alɛ, “Be lɛsaa di Yaa kafa nwu nkpo ledie?",Bilesa di ya kafan pole di,0.9167,0.5682
6,"Ninfɛ di Yesu latɔkɔ nwɔ alɛ, “Nkpikiti nkpe atuɛ ya kamɛ mansiɛ nii, bakansiɛ nkpe ayo mante nii. Kafɔɔ ami Otii Obi, nnaa lɛba katɛ ni disi.”","N'ime fadii Jesu na-atụgharị onwe ya, m kwigiti mpe, atụgharị ya aka me ma nsie n'iyi. Maka m sie mpe, ayịọ m ntị n'iyi. Ka fa amị otu obi nna ha na-akatọrọ",1.1481,0.5364
7,"Kafɔɔ nse buobuɛ bulɛ ‘otii nfũ kuokye’ yi, buɔyɛkɛ bulɛ batii ba mmle mabla wo lɛsaa, diekye bamuu lɛma beefũ beenu alɛ Yohane yi, Yaa ɔlaa buɛtɛtɛ aale.”","Ka ha onse buo egbe bule, otu n'ime ha oche yi. Buo ya ke bule, kpatie ba mli ma bla o lesa. Je che ba m ole ma be fu be nu ale. Yohane yi ya ola bu etete ale.",1.2857,0.3884
8,Baakpaa okosopo nwu kafɔɔ baasɛnkɛsa ni baasifiko leyo. Nioso otu late ma.,ba ba oko zopongo ka foba fenke fani ba si vingoleyo nyoso otula,1.0833,0.377
9,"Di alɛɛ anyɔ kamɛ, aatuo asaa, ni di ɔlaa biene wɔ mmle labiɛ kuakyaka Asia kasɔ kamuu nɛ. Nioso batii ba ninle ni Yuda batii ku mba ninanle ni Yuda batii kafɔɔ baanu ɔlaa nwu.","di ala anyi oge ahu, otu ahu ka odi. O na-abia na o muru laa bie kuo achaka, a si ya ka o sokam unu. N'ihi ya, o bataghi bani nlele Judah bataghi kuo bani na nlele Judah bataghi ka o baa n'ulo ahu.",1.2286,0.4565
10,"“Ninfɛ di banumbentɛ nwu nkpo latɔkɔ ma alɛ, ‘Oo, nnɔfɔ be bukle ni dilabawo awo ku aye. Nkpo oso bitɔɔkyɛ basunsutɛ nfũ biɛlaaya.’","N'ihi na dịka banyere ntemkwụla tupu ma ale, ọwụ nnọọ fọbụ kilịni dịleba wụ awọkụ anyị. Nkwụ ọsọ bịta ọchị basụsụ ntem fụ, bịele anyị",1.0435,0.598
11,"Kafɔɔ obi lɛfɔ wɔ mmle nintɔɔlalaasa fɔ ni asaa ku basanko basɔnɔkpeetɛ lekple ɛɛwa nii, fatoolo nankyue wɔ ninsi ni lɛla fɛɛtɔɔ nnwɔɔ!’","N'ịtụle ala ọzọ n'asụsụ ha, ndị mmadụ na-ekweta na e nwere ihe karịrị otu ụdị ịhụnanya.",1.0,0.8198
12,"Ninfɛ di Yuda wɔ niadiki nwɔ aata ni kafɔɔ lakaalɛ nwɔ alɛ, “Saatuotɛ, nwaa n-ye nlɛ diele ami falaka, sɛɛ ami dile?”","Ndi be di yu daa onye atụkịrọ atanị ka fa ọla kaalẹ nwọ alẹ. Satiote, mwa inye nne jiri amị fara ka si amị dili",1.0909,0.427
13,"Kuntɛ Kristo ditabla okpile kuonwii yi, Yaa lata aabayila siikpile loo kanya aata wo. Alɛ nse buɔbla onwii ku nnwɔɔ yi, ni Yaa kabu wo fɛ babienetɛ di anu nɔɔ.","Konte Kristo di tablo kulu ku onwe yi, y'alata abali asato kulu lugha ya atawu, ale nse gbo gbo onwe kulu onwe oyi, ni akabu ofe ba bi ete di anu no.",0.9,0.3651
14,"Nfanwu basaanyuntɛ nɔɔfo ku batii nɔɔ lataka baakyɛ Yaa Olekatakɔ baalaamufũ ma baawako. Batayɔ osie baakpaa ma, diekye baatɔɔyɛkɛ alɛ, batii nwu masafɔ ma afuɔ.",basa nyu nte na ofu kuba ti na olataka ba cha ya oleka tako ba la mofu ma bawa ku bata yo osi ba kpa na di chi ba to ya ki ale ba ti wu masafa ma fu,1.48,0.3459
15,"Ni baayiisa kudu osie kanya, baakyako awu lɛma ɔbɛbɛɛ, ni baatɔɔsa kɔtɛ kafɔɔ di osi ku ɔblɔ nɛ.","Niba ikibazo cy'ubutaka cyakemutse, abaturage bazashobora guhinga. Niba nta kibazo cy'ubutaka gihari, abantu",1.0,0.8947
