sample_id,reference,hypothesis,wer,cer
0,"Nɔ nɛ deɔ ke e ngɛ Mawu mi ɔ, e ba e je mi kaa bɔ nɛ Yesu Kristo ba e je mi ɔ.","N'onodu nke enyemaka mụ onwe m, ebe ejem ka abụọ n'ime Jisọs Kraist bụ ejem.",1.0,0.5472
1,"Nɔ ko yɛ hiɔwe gblee kaa ja Nɔmlɔ Bi ɔ, nɔ nɛ je hiɔwe kple si kɛ ba a.”",na ko ye hiowegblee ka ja numlo bio nu ne je hiowegblee nke ba bo ne mose wosi no nu nge na nu,1.1579,0.7255
2,"Nihi nɛ peeɔ nɔ́ nɛ da, se a be he wami nɛ a kɛ ma fa a he ɔ, nyɛ bu mɛ fɔ, nɛ nyɛ gbe mɛ.","Nii Napiɔnɔ Nidaa, ase Abeehewa mi ne Akema Faa Hio, nyɛ gbi mɛfɔ̃ ne nyɛ gbe mɛ",0.8519,0.2542
3,"Lɔ ɔ he ɔ, a poo osɛkɛ ɔmɛ ngɔ wo wo ɔ mi, nɛ a pɛne kpa nɛ fi kudɔɔ ɔ hulɔ. Jehanɛ a wo abalaa nɛ ngɛ lɛ ɔ yi ɔ, konɛ kɔɔhiɔ ɔ nɛ ha nɛ lɛ ɔ nɛ nyɛɛ kɛ ya hɛ mi. Kɛkɛ nɛ wa ngɔ wa yi kɛ pi wo kpo ɔ.","Lɔɔ hiɔ, apɔɔ o tɛɛkɛɛ ɔ mɛnɔ wɛ wuo mi. Nɛ apɛɛ ni kpa ni fiku dɔɔ hulɔ. Ja nɛ awu abala nɛ inyɛɛ lɔɔ hiɔ. Unɛ kɛ o hiɔ nɛ iha nɛ inyɛɛ ke yahi mi. Kɛkɛ nɛ wa ngua yiikee piɛ wokpoo",0.807,0.3139
4,"Se munyu nɛ kudɔɔtsɛ ɔ, kɛ lɛtsɛ ɔ tu ɔ mohu ya asafoatsɛ ɔ yi mi pe ga nɛ Paulo wo mɛ ɔ.",Ke munyu ne kude oche o keleche otu omo hu ya atafacho oyi mi pe ga nepa olowo me,0.7826,0.3846
5,"Niinɛ, sane kpakpa a nɛ i fiɛɛ ɔ, lɔ ɔ kɛkɛ ha we mi he blɔ kaa ma fĩa, ejakaa Mawu nitsɛ nɛ fa mi ke ma pee jã. Kaa i fiɛ we sane kpakpa a, jinɛ musu tloo mi pɛ!","Nne, sanda kpakpaa ni ife o. Lo keke ha omihe buloka amafia. Eja ka ma onicha le fa m ike ma pa eja. Ka ife awusa ni kpakpaa, jine musu turo mi",0.8537,0.3362
6,"Maria ya su he nɛ Yesu ngɛ ɔ, nɛ amlɔ nɔuu nɛ e na Yesu ɔ, e kpla si ngɛ Yesu nane nya, nɛ e de lɛ ke, “Nyɔmtsɛ, kaa o ngɛ hiɛ ɔ jinɛ ye nyɛminyumu ɔ ko gbo we.”",Maria ya suhene ye tunyoo ni amlaa no ne ena Yesuo ekwosinyo Yesu na nanya ne edeleke. Nyomche ka onye hio jine ye enye me nyumu okogbo,0.9024,0.3274
7,Se ke a kpale kɛ ba Nyɔmtsɛ ɔ ngɔ kɛkɛ a ma je hɛ mi hami nɔ́ ɔ ha mɛ.,Ke ke akwale ke ba nyumu nche onwoke ke? A ma je he mi ha minu ha,0.65,0.3878
8,"Nɔ tsuaa nɔ nɛ ngɛ hɛ kɛ nɔ fɔmi kaa kikɛ nɛ ɔ ngɛ Kristo mi ɔ, peeɔ e he klɔuklɔu kaa bɔ nɛ Kristo hu ngɛ klɔuklɔu ɔ.",No chu ano ne enge he ke ne opomi ke aki ke ne onge Kristo mio. Pio ehe kronkron ke abo ne Kristo hu nge kronkron.,0.8966,0.4545
9,"Yuda bi jio, ma je li jio, Kristo nɔ lɛ wɔ tsuo wa maa gu kɛ ba Tsɛ ɔ ngɔ. Mumi Klɔuklɔu kake ɔ nɔuu lɛ maa piɛ wa he.","Yoo, daabi joo. Ma je li joo. Kristo nɔ lewɔ choo amagbuu, ke bache ŋɔ. Mumi krɔŋkrɔŋ kaake ŋɔ le ma piɛɛ wa.",0.7667,0.4
10,"Jokuɛ ɔ ba wa ngɛ nɔmlɔ tso mi; e le ní hulɔ, nɛ Mawu gbaa lɛ babauu.",Jukuu mba wa ngɛ numlɔ chomi. Elɛ ni hulɔ. Nɛ maa gba alɛ baba ooo.,0.8235,0.26
11,"Jehanɛ ɔ, e de tsɔli ɔmɛ ke, “Nyɛɛ yɛ eko ya ha nɔ nɛ ngɛ ní tsumi ɔ nɔ hyɛe ɔ.” A yɛ nyu","Jehu no, e de choli omeke, nye ye ekohu no nenge ni chumi onohia o. Anyie",0.9167,0.4918
12,"Jehanɛ ɔ, e plɛ e he, nɛ e na Yesu nɛ daa si, se e yo we lɛ.","JOHANNEo, e plɛɛ ehe ne e na yetu ne daa si, se e yoo we",0.5556,0.2821
13,"Nyɛɛ hi ye mi nɛ imi hu ma hi nyɛ mi. Kaa bɔ nɛ tso kɔni be nyɛe maa wo yiblii ngɛ lɛ nitsɛ e dɛ he, se ja e mɛtɛ wai tso ɔ he ɔ, jã kɛ̃ nyɛ hu ke nyɛ hi ye mi ɔ, nyɛ be yiblii woe.",Nye hi ye mi na imi hu ma hi ye mi. Ka gbo ne chuku ni be nye ma wu yibli ngeli ncha edenhi. Se ja imete wine tuo hio. Ja kenye hu kenye hi ye mi o. Nye be yibli wui.,0.68,0.3492
14,"Lɔ ɔ he ɔ, benɛ Samaria bi ɔmɛ ba Yesu ngɔ ɔ, a kpa lɛ pɛɛ ke e hi a ngɔ. Nɛ Yesu kɛ mɛ hi lejɛ ɔ ligbi enyɔ.","Naa hiɔ, benɛ Samaria biɔmɛ ba Yesu ngɔ, akpale pɛɛkɛ ehi anɔ. Ne Yesu ka mɛhi le jɔɔ ligbi enyɔ",0.7333,0.1447
15,"Nyɔmtsɛ kake, hemi kɛ yemi kake, kɛ nɔ sɔlemi kake lɛ ngɛ.","nyom ka ke, ke mi ka ye mi ka ke, ke eno sole mi ka ke le",1.4167,0.3182
16,"Ejakaa yakayaka si himi nɛ nyɛ nɛmɛ ɔmɛ si ha nyɛ ɔ, nyɛ le hĩɔ nɛ Mawu wo loko e kɛ kpɔ nyɛ kɛ je mi nɛ nyɛ ye nyɛ he. Pi nɔ́ ko nɛ puɛɔ kaa sika hiɔ, loo sika tsu nɛ Mawu ngɔ kɛ tsu kikɛmɛ a ní nɛ ɔ,","Eje ka anya ka esi eme ya. Na-enye nụ m osisi ha nyere nụ, nyere nụ nụ n'ime ọwụ, rụọ ka oké kponye ka jiri na-enye ya ihe. Pinokio na-epụ ọka nsi ka hịọ, rụọ osisi ka chụọ n'ime ọnwa ka chụọ nke ma nị",1.0,0.6207
17,"Yesu de mɛ ke, “Abraham nina ji nyɛ jinɛ nyɛ maa pee níhi nɛ Abraham pee ɔ nɔuu.","Yesu Kristo, Abraham nina jije, jije nyɛ ma pe nihi ne Abraham pɛɛ ónu.",0.7222,0.3333
18,"Jehanɛ a kɛ lakpa odase yeli komɛ ba, nɛ a ba de ke, “Daa nɛ ɔ, kikɛmɛ a nɔmlɔ nɛ ɔ tuɔ munyu kɛ siɔ wa sɔlemi we klɔuklɔu ɔ, kɛ Mose mlaa a.",Jaan akɛ la kpɔɔ daa si yeli kome ba naaba deke.,0.9706,0.7157
19,"“Koo pɛtɛ he, koo sa o nya, nɛ koo ta he tete po” ɔ?","Kɔpɛta hɛ, kɔta o nya. Nɛ kɔta hɛ tɛtɛpɔɔ.",0.7857,0.3824
20,"Se Paulo kple si, nɛ e ya bu e nɔ, nɛ e fua lɛ. E de ni ɔmɛ ke, “Nyɛ ko jé ngmlaa; wami ngɛ e mi kɛ mwɔɔ!”","Sei Paul Okartey, le yabu eno le efuale, ede nyomeke? Nyeko je ngua wami emika muo.",0.9655,0.3857
21,"Yoo, i le bɔ nɛ ma pee, kɛkɛ ɔ, ke ye ní tsumi ɔ je ye dɛ ɔ, ma na huɛmɛ nɛ ma he mi atuu kɛ to we.’","Ihe ị na-eme na map a, nke a bụ ka eji ya dee ya. Mana ha mere ma ha mee atụkọta",0.9655,0.6667
22,"Yesu de lɛ ekohu ke, “Ke o de ke o be huno ɔ, o tu anɔkuale.",Yesu de le ekohuke ke ode ke obehu nuo otu anokwale,0.75,0.122
23,Nyɛ ko sisi nyɛ he kaa nyɛ maa bu munyu ɔ tue kɛkɛ; mohu nyɛɛ pee munyu ɔ nɔ yeli.,nyɛ kɔsisi nyɛhe ka anyɛma bu munyu otu ekɛ mohu nyɛpe munyu onoyeli,0.75,0.1475
24,"Yuda bi ɔmɛ nu kikɛmɛ a nyumu nɛ ɔ, nɛ jinɛ a",Nyɛ daa biɛɛ me nnu kɛ ke anyumu ne o. Ne ji ne,1.0833,0.4848
25,"Ngɛ mlaa a blɔ fa mi ɔ, i plɛ pee nɔ gbogboe, konɛ ma hi wami mi ha Mawu mohu. I kɛ Kristo a sɛu ɔ nɛ.","Ngemla blefami o, i ple pe no gbe gbe, koni mahi wa mi mi ha ma wu mo hu. Ike Kristo asenwo ne",0.9259,0.2361
26,"Se kɛ̃ ɔ, bɔ nɛ pee nɛ munyu ɔ ko gbɛ fĩa fuu ko hu ngɛ ma a mi he je ɔ, nyɛ ha waa bɔ mɛ kɔkɔ ke a ko ngɔ Yesu biɛ kɛ tsɔɔ ní hu.”",Nke a bu ihe mere na umuaka gbara afa iri na abuo ma obu iri na asato ji wee na-agwa bomekoke akwukwo nso bie kee chuwa n'ihe,0.9737,0.7753
27,"Wa nu nɛ e de ke, Yesu, Nazaret no ɔ, maa ku sɔlemi we nɛ ɔ, nɛ e ma tsake blɔ nyahi nɛ Mose ngɔ ha wɔ ɔ.”","Wannue edeke, Yesu Nazaret nuɔ makwɛ solomɔ wɛneɔ ne emachake blonya hiɛ ne mose ngua wɔ.",0.8571,0.2877
28,"Lɔ ɔ he ɔ, awenyɛ nɛ i suɔ! I kpa mo pɛɛ, nyɛ ha nɛ waa suɔ wa sibi. Nɔ́ nɛ i ngɛ ngmae nɛ ɔ, pi mlaa he, se mohu mlaa a nɛ a wo wɔ kɛ je sisije ɔ.","Loo hiɔ, a wenye ne isuɔ, ikpa mope, nye haa ne wa suɔ wa si bi, no ne i nga ngmaɛ ne o. Bimlaahi, te mohu mlaa ne a wu wolo keje sisi ji o?",0.878,0.2929
29,"Pi kaa anɔkuale ɔ nɛ nyɛ li nɛ i ngɛ nyɛ womi nɛ ɔ ngmae. Dɛbi! Akɛnɛ nyɛ le anɔkuale ɔ, lɔ ɔ he mohu nɛ i ngɛ nyɛ womi ɔ ngmae ɔ nɛ; nɛ nyɛ le hu kaa anɔkuale ɔ, lakpa be mi.","Bịa ka anyị nọkwalụ onye nyere nri ịṅaṅewomị n'ọnwa a. Debị, aka nyere nọkwalụ. Lọọhị ma ọ hụ na ịṅaṅewomị ọnwa a ọle. Nenyere hụ ka a nọkwalụ lakpabe",1.0,0.5794
30,"Ni ɔmɛ nɛ ngɛ nyɛ hɛ mi hae ɔ, nyɛ bu kaa a suɔ nyɛ; a be nyɛ he juɛmi kpakpa. A ngɛ hlae nɛ a puɛ i kɛ nyɛ wa kpɛti, konɛ nyɛ gbo mɛ mohu a he dengme.","Nyo me ne nganyo he mi hayo, nye bu ka aso nye. A benyehe juemi kwakwa. Anye le anyi na apu ikanye waketi, ko na enye gbo me mo hu ahide",0.9,0.3738
31,"Nyɛ ma de ekohu ke, ‘Waa kɛ mo lɛ ye ní, nɛ waa kɛ mo lɛ nu ní; o tsɔɔ ní ngɛ wa magbɛ ɔmɛ a nɔ.’","Nye ma de eko hu ke, wa ka mole yeni ni wa ka mole nuni. Ochoo ni nge wa ma gbe oman.",0.8889,0.3077
32,"Kristo he ɔ, wa plɛ kuasiahi, se nyɛɛ lɛɛ nyɛ ba pee ní leli! Wa gbɔjɔ, se nyɛɛ lɛɛ nyɛ he mi ba wa nyɛ! Nyɛ hɛ mi ba nyami, se wɔɔ lɛɛ wa hɛ mi pue si.","Kristo hiɔ, wa plɛɛ kwa si ahi, se nyɛɛ le nyɛbapaa ni leli, wa gbojo, se nyɛɛ le nyɛhemi ba wanye, nyɛhemi ba nyami, se wole wa hemi kwɛsi.",0.7105,0.2037
33,ejakaa Mawu Ope ɔ pee ní nguanguahi ha mi.,Ejakã mɔ̃ opiɔpe ni nwanwa ha mi,0.7778,0.4242
34,"Se bɔ nɛ ba nɛ e ngɛ nɔ hyɛe amlɔ nɛ ɔ, lɔ ɔ lɛɛ wa li; nɛ nɔmlɔ nɛ ha nɛ e bɔni nɔ́ hyɛmi ɔ hu wa li lɛ. Nyɛ bi lɛ; e wa nɛ lɛ nitsɛ e ma nyɛ je munyu nya.”",Bɔne bɔne eŋɛ nohialɔ mla nɛɛ lɔlɛ wali nɛ nɔ mla nihi nɛ e bɔni nohialɔ miɔhu wali le nyɛ bile egbua nɛ le nitsɛ emɔ nyeje mu nyunyu.,0.8444,0.3113
35,"A pee ja niinɛ, nɛ a ngɔ sika a kɛ mane asafo nikɔtɔma amɛ kɛ gu Barnaba kɛ Saulo a nine nɔ.","Ape jaa nine, ne anɔsikaa ke mane asabu nikɔtɔma amɛ ka gba naba ke Saulo anine nɔ.",0.7727,0.1884
36,"Ejakaa ngmami ɔ deɔ ke, “Osɔfo ji mo kɛ yaa neneene kaa Melkizedek pɛ.”",E ya kaa anwa mi odii oke.,1.0,0.7593
37,"Yi nikɔtɔma amɛ ɔ, o kɛ mɛ nɛ hi si kaa mo nitsɛ o nyɛmɛ, nɛ o kɛ yihewi ɔmɛ nɛ hi si kaa o nyɛmiyihi; se hyɛ nɛ yakayaka fiɛmi kó ba je mi.","Yenikɔtɔ maame oo, oke me ne hizi ka mɔ ni che onyeme, ne oke ye womehu ne hizi ka onyeme iyihi. Se hie ne ya ka ya ka afiome iko baje.",1.0,0.3725
38,"Lɔ ɔ he ɔ, a ya to Yesu gbogboe ɔ ngɛ lejɛ ɔ, ejakaa yɔkɔ ɔ he kɛ we, nɛ jehanɛ ɔ hu, jamɛ a ligbi ɔ nɛ a dlaa he kɛ haa Hejɔɔmi ligbi ɔ nɛ.","Na hie, aya to ye tsu gba gbi o nene jon, eja ka aya ko he ke we. Ne je ane hu, je ma ligbi o ne, adra he ke ha he jo ma ligbi o ne.",0.8919,0.3636
39,Se a ti ni komɛ pue nɔ kɛ ho nɛ a ya sɛɛ níhi nɛ Yesu pee ɔ ha Farisi bi ɔmɛ.,Ne atii ni kome puo nɔ kɛhɔ ne aya siɛnii nɛɛ yesu pɛɛ ohafari si biɛ,0.8636,0.2727
40,Yuda bi komɛ nɛ yee Mawu gbeye ngɛ Yerusalem jamɛ a be ɔ mi. A je je ma amɛ tsuo a mi.,"Ndi be anyi, komene, iye ma ogbe ye nya Jerusalem jamabe yomi. Ajeje ma, metsu a",0.9091,0.381
41,"Anɛ nyɛ li kaa yayami peeli be blɔ nya ko ngɛ Mawu matsɛ yemi ɔ mi lo? Nyɛ ko sisi nyɛ he! Yaholi, loo amaga jali, loo gba puɛli, loo nyumuhi kɛ yihi sɔuu nɛ kɛ a sibi peeɔ yakayaka ní,",A na enye li ka ye ya mpele bibio nyakongemawu machie miomi lo. Nyekose si nyehe yaholi lo amaga jali lo gba peli lo nyumuhi ke yi so neke asibi pio ya ka ya kani.,0.8537,0.2662
