sample_id,reference,hypothesis,wer,cer
0,Me ho ye paa ara,Me ho yɛ paara.,0.6,0.1667
1,Yaw ne Ama,Yaa ne ama.,0.3333,0.125
2,Nsu,insu,1.0,0.3333
3,Okuu adubɔfo,Okum adugbofufuo.,1.0,0.5455
4,Ma ɛtwee aboa bi,Ma ekyiri abuo bi.,0.5,0.6154
5,Mefi Ghana,Me fri Ghana.,1.0,0.1111
6,Dɛɛbi dɛɛbi me pɛsɛ me tɔ,"Dabi dabi, me pɛ sɛ metɔ.",0.8333,0.2
7,Number bɛn na wo pɛse wo tɔ gu su,Number bɛn na wopɛ sɛ wotugu so?,0.6667,0.12
8,Nokware di tuo,Nokware di ekyirɔ.,0.3333,0.5
9,ɔkɔtɔ nnwo anomaa,ɔkɔtɔ nwɔanu maa,0.6667,0.2
10,Mepawokyɛw,Mepaakyew.,1.0,0.3
11,Sɔ kanea no,"So, ka me ano.",1.3333,0.2222
12,Wɔ ńkwankyɛn,wɔn kwan kyerɛ,1.5,0.3636
13,Tuu no,Tsunu,1.0,0.4
14,Mtn,MTN,0.0,0.0
15,ɛye,Eii ye.,2.0,1.0
16,Gye di,Gidi,1.0,0.4
17,Wofi he,wofehɛ,1.0,0.3333
18,Abofra yi,abufuo yi,0.5,0.375
19,Saa ɔkɔre no,Saa akwadae no,0.3333,0.5
20,Esian sɛ,Esansei,1.0,0.4286
21,To so ma me,Tessamame,1.0,0.375
22,Gyeene abiɛsa,Jane ne Abena,1.5,0.5
23,Me nsa aka,,,
24,Meredwen wo ho,M'adwene.,1.0,0.5833
25,Wɔn ti,wɔ,1.0,0.6
26,Mepaw’ kyɛw yiw  (spoken - informal),Me pawkyew.,1.0,0.6923
27,Tu amirika,So I'm Rica.,1.5,0.5556
28,Mepawokyɛw ma sesa madwene,"Me paakyew, ma sista ma aje.",1.25,0.3913
29,Woka brɔfo,Woka brofo.,0.5,0.1111
30,Medɔ wo,medow,1.0,0.3333
31,Ɛsoe pɛ,Ɛsɔne pɛ.,0.5,0.3333
32,Wofi he,Wofiri he?,0.5,0.3333
33,Ɛsow aba pii,Esou abɛpii.,1.0,0.3
34,Woforo dua pa a na ye pia wo,ɔkɔtɔnwa anomaa,1.0,0.8095
35,Fa to hɔ,fatuho,1.0,0.3333
36,Bra ha,braha,1.0,0.0
37,Merehwehwɛ Yaw,Me se se yaa.,2.0,0.5385
38,To so ma me,Susu mami.,1.0,0.5
39,Abofra yi,Ampefrie,1.0,0.75
40,Nokware di tuo,Nokware di etuo.,0.3333,0.0833
41,ɔkɔm de me,Akwaaba me.,0.6667,0.75
42,Tow nnwom,So nyom,1.0,0.5
43,ɛno akyi no,Ɛno ekyiri no,0.3333,0.3333
44,Emu biara,ɛmo biara,0.5,0.25
45,Kyerɛw ma me,"Ciao, mami.",1.0,0.7
46,Sɔ kanea no,Sɔkane ano.,1.0,0.0
47,Woadi Ńkɔmmɔ mprɛnsa,Wedi nkomo emprensa.,1.0,0.3889
48,Wo pɛsɛ wo yɛ dɛn ɛnɛ,Wopɛ sɛ woyɛ dɛn ɛnne?,0.8333,0.125
49,Mepawokyɛw Yiw,Me pawkyu.,1.0,0.4615
50,Me ho ye paa,Me woyɛ pa.,0.75,0.3333
51,Tew so ma me,Tell some mummy.,1.0,0.7778
52,Me ho ye paa ara,Me ho yɛ paara.,0.6,0.1667
53,Network bɛn,network bank,0.5,0.2
54,Me nsa aka,Me nsaka.,0.6667,0.125
55,Fa to hɔ,Faccho ho.,1.0,0.6667
56,Mepawokyɛw Yiw,Me pawkyo you.,1.5,0.3846
57,Medaase,Medaase.,0.0,0.0
58,Medaase,Medaase.,0.0,0.0
59,Kɔɔ dua bi akyi,Kɔdɛɛbi eci.,1.0,0.5
60,Yaw ne Ama,Yaw ne Ama,0.0,0.0
61,Kyerɛw ma me,"Shalom, Amen.",1.0,0.7
62,Mefi Ghana,Me fie Ghana.,1.0,0.1111
63,Kɔɔ dua bi akyi,code bi h,0.75,0.75
64,Mepaw’ kyɛw Yiw,Me pawkyew.,1.0,0.3333
65,Ma me bi,Mami B,1.0,0.3333
66,Me nsa aka,Mensa ka.,1.0,0.125
67,Tenten no,Tenten no.,0.0,0.0
68,Woretɔ agu number bɛn so,"O wittor, egu number bank so.",0.8,0.45
69,To so ma me,Tumi.,1.0,0.75
70,Wofi he,Wo fie hen?,1.5,0.3333
71,Mayera,Mayra,1.0,0.1667
72,Yiw,You,1.0,0.6667
73,Yiw,Yoo.,1.0,0.6667
74,Wo pɛsɛ wo yɛ dɛn ɛnɛ,Kopese woyɛ dɛn ɛnnɛ?,0.8333,0.25
75,Tenten no,ten ten no,1.0,0.0
76,Na biribiara dwoi,Na biribiara,0.3333,0.2667
77,Nnipa yɛ bad (informal) Nnipa nnye (formal),Nipa ebad,1.0,0.7879
78,Ɔmee ne Ɔfe,ɔme nni ofe,1.0,0.3333
79,Meda wo ase,Medaase.,1.0,0.2222
80,Mefi Ghana,Me fi Ghana.,1.0,0.0
81,Sɔ kanea no,sokani ano,1.0,0.2222
82,Woadi Ńkɔmmɔ mprɛnsa,Wedi nkomo mprempensa.,1.0,0.5556
83,Wɔ nnwomkoro kuw bi mu,Wo enyum kroo kuw bi mu.,0.6,0.3333
84,Ma ɛtwee aboa bi,Me twi abuo bi.,0.75,0.4615
85,Tikoro nnkɔ agyina,Sikro ne Krokyina,1.0,0.375
86,Mehu mayɛ ewie,Me ho maaye yie.,1.3333,0.3333
87,Na biribiara dwoi,,,
88,Abofra no to nwom,Abofra no tu nyom.,0.5,0.1429
89,Ɔbebue n'ani ɔkyena,Ogugu yi na-eri kọchi.,1.3333,0.8125
90,Tew so ma me,Teɛw so ma me.,0.25,0.1111
91,Wofi he,Ofehe.,1.0,0.3333
92,ɔkɔtɔ nnwo anomaa,Akatua mu wo anomaa.,1.0,0.4
93,Wofi he,wo fie,1.0,0.1667
94,Medɔ wo,medallion,1.0,0.8333
95,A ohuu wɔ nkran,"Ah, ohuo wo nkran.",0.75,0.25
96,Ye be hyia bio,Yebesia bio.,0.75,0.1818
97,Mame bebree,Mame bebree.,0.0,0.0
98,Hyɛ n'anim tee,Sɛnneɛ nim nsɛn.,1.0,0.8182
99,Woforo dua pa a na ye pia wo,Wo ho yɛ dɛapa na yɛpɛ wo.,0.75,0.381
100,Apoobɔ nnye,ɛkwo bɔnye,1.0,0.4
101,Hena akonwa,Hena ekongwa?,0.5,0.2
102,Wo se dɛn,Wose den?,1.0,0.1429
103,Saa ɔkɔre no,Saa akore no.,0.3333,0.2
104,Ebi deda ebi akyi,ABDDABH,1.0,0.6429
105,Wɔ ńkwankyɛn,wɔn kwan krɔn,1.5,0.2727
106,Wɔ ńkwankyɛn,wɔ nkwan chain,1.0,0.4545
107,Dum kanea no,Dunkani ano,1.0,0.2
108,Yɛ wɔ,Yewo.,1.0,0.5
109,Bra ha,braha,1.0,0.0
110,Kɔɔ dua bi akyi,Kɔ diɛbi asɛ.,1.0,0.5
