sample_id,reference,hypothesis,wer,cer
0," Ɖevi ŋutsuvia lewo kple nyɔnuvia lewo le ʋe ɖum eye wotsɔ enu bla afɔ, eye ame bubuwo hã wokpla eŋu hele ƒoƒom.","Le vi nutsu viale kple nyonu viale la dome, eye wòcho anu bla afɔ, eye amabubu haa kple afu le fu.",0.8182,0.3864
1,"Ame aɖewo wole mɔ zɔm le eŋudzeƒe. Baagi vovovo le wo si. Ɖeviwo kple ametsitsiwo, nyɔnu kple ŋutsu. Ɖevi ɖe kpla bagi ɖe dzime. Eɖewo le bagi tutum. ","Amade wo le mawu zɔm le Evegbe. Bagbavovo le wo si, devi kple ametsitsiwo, nyonu kple ŋutsu. Devi deka bla bagba de jime, edewu le bagba tutu.",0.6429,0.3017
2,"Ŋutsu aɖe tsitre eye wòbla ekɔme kple tae eye wòde asi megbe, edo dzi kple anyigba wu eye ɖe nɔ atigo me eye wòdo asi ɖe dzi. Le emegbe la, aflaga si nye USA tɔ la hã le glia ŋuti eye ame bubu hã tsitre ɖe eya ma gbɔ.  ","Metsɔ adey chichre eye wòbla kɔma, bla tai eye wòde asi magbe, adzo dzi bla anyigba, wu eye de nɔ achigoma eye wòdo asi de dzi le amegbala aflagã si nye USA tɔla, ha le glã nti eye amegbubu chichre eye amagbɔ.",0.5918,0.2667
3," Atiglinyi yi ke woƒe gbɔsusu me sɔgbɔ wole enu ɖum le egbe aɖe dzi eye tɔsisi hã le va to woƒe ŋkume, ke ame aɖewo hã nɔ woƒe ŋu me va to eŋu mɔdodo aɖe dzi le wo megbe.","Atsi kple nyi iko fogbɔ sɔsɔ ma sɔgbɔa, ﮞlɛ enu du ﮞlɛ egbe adeji, eye tɔ sisi ha ﮞlɛ vato kpe nkuma kea maro ha na kpe vuma vato emɔ dodo adeji le umagbe.",0.9231,0.3721
4, Maɖewo le edɔwɔƒeaɖe machino le wógbɔ eye meɖeka bɔbɔ nɔ anyi edó kuku ɣi,Madu le edowofaade ma sino le wugbo eye mede ka bubu no anyi edokuku yi,0.8571,0.3167
5, Woɖo agbalẽwo ɖe ati aɖe dzi le xɔme. Fotowo hã le glasi me le atia dzi. Zikpui bɔbɔe lɔbɔ aɖe hã le xɔa me. Suɖui suetɔ aɖe le zikpuia dzi.,Wudo agbanlewo de atia dzi le xome. Foto ha le glasi me le atia dzi. Zikpi boboe loboe ade ha le xoa me. Sudui soe to ade le zikpi a dzi.,0.6667,0.2336
6,Le xɔme la ŋutsua nɔ anyi ɖe asikpui. Nyɔnua anyigba tutum ye agbalẽ go le afima godzi. Egbewo le nugo me le gbalẽ goa me ye kaɖi hã le teƒea.,"Le xomela, ntsuanoe le ajigpema, nyo nwa anyigba tutu. Ye agbalago ele afumago ji, egbeo le ngoma le gbalago ama ye kadi ha eli le tefa.",0.8,0.3091
7,"Le xɔ aɖe gbɔ. Xɔ kɔkɔ kple xɔviwo le tɔ gbɔ. Ɖewo le amadede vovovowo me. Ɖewo le dzi, ɖewo le aŋtsiɖiɖi, ɖewo tame le ʋie eye ɖewo tame le vii.",Tɔ̃wo adebɔ̃. Ʋɔ̃kɔ̃kɔ̃la ʋɔ̃viwo la tɔ̃bɔ̃. Tɔ̃wo la amadede ʋɔ̃ʋɔ̃ma. Tɔ̃wo je. Tɔ̃wo la antsididi. Tɔ̃wo tamale ye. Eye tɔ̃wo tamale fi.,0.9355,0.4312
8," U.S.A tɔwo ƒe ŋɔnudzrɔƒe aɖe, ŋɔnudrɔla nɔ anyi ɖe eƒe zikpui me ale be U.S.A flaga nɔ egbɔ. Ame eve aɖe nɔ kplɔ̃ aɖe ŋuti eye ame ɖeka aɖe hã nɔ kplɔ̃ ɖeka aɖe ŋuti. Ame aɖewo hã wole ŋɔnudrɔƒe la.","USA tofe vɔ̃nudrope ade vɔ̃nrola nɔ anyi da epazikwime, alaba USA flaga nɔ agbɔ̃. Amewo ade nɔ kpɔ̃ ade nti, eye amewo deka deha nɔ kpɔ̃ deka nti. Amewo ha wole vɔ̃nudropela.",0.7561,0.3311
9," Ɖetugbui aɖe dze klo ɖe anyigba eye kesewo sɔgbɔ va ƒoxlae, kese ɖe tsitre ɖe ɖetugbui dzi, eƒo ɖetugbuia ƒo ɖa ɖe ta kesea ɖe dzo tso adzɔge gbɔna.","detugbe adeke kolo de anyigba, eye kese wosogbo vafohalae, kese ade titri de detugbe aji, efoda detugbe afo darta, kese ade dzoto ajoge gbona.",0.8966,0.3333
