sample_id,reference,hypothesis,wer,cer
0,"Yaayaa seettii, wii: —Mi yii Ruuhu hono wuugaandu ana jippoo iwde dow kammu faa hoɗi dow makko.",Yaya sitti?,1.0,0.8933
1,Homo woni duroowo mo yarataa kosam sewre mum?,Homa wuni doro mo yara ta kosam sewre mu.,0.75,0.2162
2,"Jamaa keewɗo filii mo, o haalani ɓe ngol banndol: —Aawoowo yalti sankoyde.","Yama kyoru filimu, o haali ni be ngol bandu. Awo o yalti sankoydi.",0.9167,0.3051
3,Sabi min laatike fijirteeɓe yeeso aduna oo fuu: yeeso malaaikaen e yimɓe fuu.,"Sabi min laategi, figirtebe yesu azuna ofu, yesu mala eken yimbe fu.",0.8462,0.3016
4,"Oon wakkati fuu, o yamiri hoore Yaayaa taƴoyee ley kasu too.","An wakarifu, yami riho re ya ya taɗo ye le kasuɗu.",1.0,0.3125
5,"Haala dokke ɗe Ruuhu Ceniiɗo hokkata ɗee, sakiraaɓe, miɗo yiɗi paamon ɗe faa gasa.","Hala dokke de ruu ce ni do hokkata de sakira'be, mi wi'i paamon de fa'a",0.8571,0.2879
6,"Taalibbo anndondirɗo e Jottinoowo Sadaka Mawɗo oo, yalti haaldi e debbo doomoowo damal ngal oo, naanni Piyeer.","Tali bo andu ndirɗo e jottinowo sadaka mawɗo o, yalti haa deppodoma o dammgal o, naani Pierre.",0.8824,0.2637
7,"Gooto e yanooɓe ɗiɗon tontidaaɓe e makko ɓee ana ɲiŋa mo, ana wiya: —Wanaa aan woni Almasiihu naa?",Wana an wani almasihu na,1.0,0.7532
8,"Ɓe njehi, ɓe tawri hono no o wii ɓe nii, ɓe lanndinii hiraande Paska ndee.","B'en yehi, be tauri hono no wi'be ni, be landini hira'nde paskale.",0.8667,0.2632
9,"Pool ɓami naɓi worɓe ɓee, yaadi e mumen.",Pauline,1.0,0.8387
10,"Celliniraaɗo haaynde ndee oo, duuɓi muuɗum ana ɓuri capanɗe nay.","Selli ni raa, haa innde o, duubi muudum ana buri cappande nayi.",1.1,0.2642
11,"Yimɓe leydi Gerasa fuu ndaardi Iisaa yoppana ɗumen leydi mumen, sabi kulol manngol nanngi ɗumen.","Yimɓe leydi Gambia fuu ɗaari Isa, yo Allah duu'a leydi mun e. Sabu kulol mangol nangi ɗum e.",0.8667,0.3
