sample_id,reference,hypothesis,wer,cer
0,Tega kam maama koge mo ye ka ta leere.,"Taka mama koro, mo",0.8889,0.5862
1,Ko nam bá dáane se abam tiini á keeri.,Kuna mbadala ni se avantini,0.8889,0.4828
2,pa se ba teene dem zwɛ de daare di-dwonnu yerane.,"Passez une bonne journée, de darai de donne une",0.9,0.6053
3,Konto mo wó pa se á jwoori á na yazura ye á daare á lɔre kolo ŋwaane o na tiini o pa ko zo á yera to.,Konto mu wupa se ajurana ye zura ye adara lare kolongwani onetinopa ko zwayira,0.8519,0.3514
4,Abam wó kwei gare-fefale mo á ma ke Aron gare-dedɔrɔ kom de o yuu gare-yi dem.,"Aha m bu Nwokoye Godfrey Ifeanyi, a m a ka a ruo Garri Doro Akụ, Dịọkpụrụmmiri",1.0,0.7288
5,amo Wɛ wó pa ba na amo verem dem.,Am I where? What part of environment?,1.0,0.8333
6,"Dɩ́ ko-biǝ-ba, abam daa ba taá lagɩ sɩ dɩ́ pʋpʋnɩ dɩ́ ta dɩ́ brɩ abam maŋa kalʋ wǝǝnu tɩntʋ na wʋ́ kɩ tɩn.",deko bia ba abanda bata la si de pupone de ta dabere aban manga kalo wone tento na wukata,0.913,0.3867
7,"Abam dwi dem wone, bu-kwe sem de á vara maama wone cheeri-bia bam ye amo nyem mo.","Aba ndị wụ ndị bukwara ịsọ, dị a vara ma ma wụ ndị chiri bịa ba, ya amanyem",1.0,0.4754
8,Asiria pɛ wom ma toŋe o dedɛɛra bam yiga tu se o zege Lakisi ne o nwoŋi de jar-keira kɔgɔ dedɛ o vo Jerusalem o gware Hezekia.,Asiri afo wu matu e odidi raba yigetu se oziri lakisi ne unu di jarukara kworo odidi uvu Jerusalem ogwari Ezekiel,0.8519,0.3673
9,Muni delo na daare to se á bibili-de memene ye á laam ma nuga á taare-te.,Mmadụ abụọ na-adịghị asụ asụsụ Bekee ma ọlị ga-ala ma nụga atatụ.,0.9375,0.7091
10,"Konto ŋwaane, á wó bwoŋi á chorro Isarele tiina bam we, ‘A nɔɔna’, de ‘A bu-swonnu’.","Kedu otu a na-akpo ""Isuzu"" na bekee? A na-ana di abuo",0.9375,0.6667
11,"Dɩ́ dɛɛn tu dɩ́ tɩtɩ mʋ nɩ biǝ te, yɩ dɩ́ laan nii abam lanyɩranɩ nɩ kaanɩ na jɩgɩ o biǝ o nii te tɩn.","Ndi be anyi, ututu oma. Unu ebiela taa. Ya diri unu niile abali nyiraini, n'kaani na jige obi a oni",0.96,0.6164
12,"” Tontoŋeno wom ma leiri‑o o we, “Nii, Wɛ tontoŋeno dedoa wo teo konto ne.","Tuntun woom ma lere owo ni, wa tuntun dudu awotiyun",0.9286,0.5
13,jejegero tem na wó taa daga dedɛ to ŋwaane.,"Ajiye ratan, na wata addara da dai to nwani.",0.7778,0.4706
