sample_id,reference,hypothesis,wer,cer
0,NIBII NI BAAYE ABUA BO NI OBATSƆ KRISTOFONYO NI EDA YƐ MUMƆŊ,Nii bii ni baa ye agbo a bo ni uba cho Christ ofonyo ni edai mumu.,1.0833,0.2653
1,MIKASE NII NI MITSƆƆ NII BE NI MISƆMƆƆ AKƐ KPOKPAA NƆKWƐLƆ KƐ BE NI MISƆMƆƆ AKƐ KPOKPAA WULU NƆKWƐLƆ LƐ,Enka senea ni nkyerɛwuni mbeae nsumɔ akɛ kpokpoo anokwɛlɔ kee mbeae nsumɔ akɛ kpokpoo awulu anokwɛlɔ.,0.85,0.4405
2,Mɛɛ be nɛkɛ Yehowa yelikɛbuamɔ he baahia wɔ waa?,Me bi ni kee yoo yii ke gba mo hiba hiɛ wulu a.,1.4444,0.5385
3,"Mɛni hewɔ esaaa akɛ wɔnuɔ he akɛ kɛ́ wɔbatsɔmɔ Kristofoi ni edara yɛ mumɔŋ lɛ, belɛ wɔgbe naa lɛ?",Meni hiɛ wɛ saake wonuɔ hiɛ ake ke wogbachu mɔ Kristofoi ni edaraa mumɔŋ bɛ wogbe naa.,0.8421,0.3553
4,"No hewɔ lɛ, eyɛ mli akɛ mɛi ni hi shi yɛ blema lɛ bɛ watsii, tamɔ bɔ ni wɔyɔɔ ŋmɛnɛ lɛ moŋ, shi no mli lɛ amɛyɛ gbɛ ni amɛtsɔɔ nɔ amɛtsɔɔ bɔ ni atswa.","Nwe ya, eyamli akee meenii hiii eblema abewachi, tamo bo ni weyo nwe na emu, shi numli ya, ama ya gbe ni ama choo nu, ama choo bo ni achwa. Saanu ya na agbii.",0.9714,0.6161
5,"Feemɔ nibii ni nyɛmimɛi lɛ feɔ lɛ eko. Yaa asafoŋ kpeei lɛ fɛɛ, ni okɛ amɛ afee ekome kɛya shiɛmɔ","Fɛɛ mɔ ni bi ni nyɛɛ mɛɛ fĩɔ ekò, yaa safo mkpaa yɛ fɛɛ, nɔ ka mɛɛ fĩɔ ekò mɛɛ ka yaa shi yɛ mɔ. Wɔ ncha nika ni mɔ nɔ.",1.4,0.5921
6,"Winston, ani sɔɔmɔ ni oyasɔmɔ yɛ Pasifik Wuoyigbɛ Ŋshɔkpɔi lɛ anɔ lɛ eye ebua bo ni onyɛ otsu onitsumɔ akɛ Australasia Nitsumɔhe Nine Ajinafoi Akuu lɛ mli nyo lɛ jogbaŋŋ?","Winston, ani somo ni a somo ya Pacific we gbe nso kpo ya ano e ya e bua bu ni onye ochu wu ni chumu. Akara Australia Asia ni chumo ni na ji na fu ya ku em ni nye ju gbanu.",1.2667,0.4173
7,HÃ NIKASEMƆ ATSE ONAA,"Ha, ni kasemo atse ona.",1.0,0.1667
8,KƐ́ WƆKƐ WƆHIƐ FƆ̃ YEHOWA NƆ LƐ WƆBAANÁ NAANƆ WALA,Kɛ́ o wá kɛ́ o hiɛ́ fɔ́ yɛ́ hɔ́ɔ nɔ́ wɔ́ baa ná nɔ́ wáala.,1.2,0.359
9,"Mɛni kɛ́ wɔfee lɛ, no baahã wɔye Yehowa anɔkwa?",Mɛni kɛwoo fie nɔbaa wɔyɛ yehowa nɔkwa?,0.7778,0.2778
10,Wɔbaakase bɔ ni wɔnáa mfonirifeemɔŋ paradeiso lɛ he sɛɛ kɛ nɔ ni wɔbaafee ni baagbala mɛi krokomɛi kɛba mli lɛ he nii.,"Woba kasɛ bɔni wɔ nnaa fɔnɔ ife mɔ mpara dɛ swɛɛ hi sɔɛ, kɛnɔ ni woba afɛɛ ni baagbula mɛi nkroko mɛi nke baamli yɛ hiɛ ni.",1.0909,0.2917
11,ESAA MƐI ATSUI KƐ AMƐJWƐŊMƆ,E sa mehi kame jwemo.,1.0,0.5217
12,Sanebimɔi Ni Jɛ Kanelɔi Adɛŋ,Sane bii mɔi ni je kanelɔ ya dii.,1.4,0.2083
13,PAULO YE EBUA ENYƐMIMƐI LƐ KONI AMƐHEMƆKƐYELI LƐ MLI AWA,"Paalo ye bua nye mee, kuna mehi moke yeli emli awa.",0.9,0.383
14,NITSUMƆ KO NI HE HIAA WAA,Nitsumɔ kɛ nii ehia waa.,0.6667,0.15
15,"Pam, bo hu obale anɔkwale lɛ yɛ ogbekɛbiiashi. Te eba lɛ tɛŋŋ?","Moko baa nu kwaliyo, beke biashi, tei bale tei.",1.0,0.4167
