sample_id,reference,hypothesis,wer,cer
0,"Mevɔ̃na ɣesiaɣi be ame aɖe akpɔ wo le nugoe me. Afikae matsɔ wo ade? Ɣeaɖewoɣi la, mekpɔnɛ wogblẽa wo ɖe anyigba le sukua ƒe nugododeƒewo. Zi geɖe la, ɖeko metsɔa wo ƒua gbe ɖe gbeɖuɖɔ gbogbo si le gota la me. Makpɔ egbɔ be mekpɔ nugoe si sɔ tso fifia dzi.",Mɔvɔna ye sia ye be amadakpɔwɔla nugbɔame afi kae ma chɔwɔ ade. Yade woyila mɔkpɔni wogblɔ awude anyigba la sukupe nugododopeo zigadela de kum chɔwɔ kpoagbele gbedudu ogbugbo si le gɔtalame. Ma kpɔ gbo be ma kpɔ nugosi sɔchɔ fifiaji.,0.902,0.2929
1,"Ne míedze ŋudzedzekpɔkpɔ ɖe amewo ŋu ɖe nusi wowɔna alo alesi wowɔa nu ɖe ​​ame bubuwo ŋui ŋu le esi teƒe be míakpɔ ŋudzedze ɖe alesi wodzena ko ŋu. Aɖe vi ne ame tsitsiwo gblɔ na mí be míesɔ gbɔ abe míawo ke ene. Le nyɔnuviwo gome la, nusi wokpɔ mɔ na enye be woadze tugbe ahabɔbɔ wo ɖokui.","Mme ye nwu jeje kpokpo, da ama wu nwu de, nsi wu wo na alo, ale si wu wa nu de ama gbugbu wu nwu iwu, le esi te fe be, me akpo nwu jeje de ale si wu je na ku nwu. A de vine amachichi wu gwulo na me ibe, me sokpo abem ye oke ene. Le nyonu vi wu go umela, nsi wu kpo mu na enye be, wa je su gbe, aha gbo bo wu dokwi.",1.1695,0.3789
2,"Mesena le ɖokuinye me abe ɖe mele ŋutsu zum ene, gake megasena le ɖokuinye me abe ɖevi ene ɣeaɖewoɣi. Edzɔ dzi nam be teƒe sia le asinye maƒo nu. Ena nyemegasena le ɖokuinye me be nye ɖeka koe li o. Nyabiase aɖe le asinye ku ɖe dzidzenuwo ŋu. Aleke mawɔ atso nya me le wo dometɔ siwo nye tɔnye kple esiwo nye dzinyelawo tɔ ŋu?","Mese na lele kunyeme abe mele ntsu zu ene, ka ke me ga se na lele kunyeme abe TV ene alo yi. Ejo ji nambe tepe si ala si nye maponu. Ena nyeme ga se na lele kunyeme be nyere ka kweli o. Nya bia si ara la si nye kura je nu. Aleke ma wo a chu nya me le wu do moto si wo nye to nye kple si wo nye ji nye la wu to nu.",1.0154,0.2461
3,"Nyemedi be mawɔ nu ŋudzɔmanɔmanɔtɔe o. Ɣeaɖewoɣi la, mesena le ɖokuinye me be mele geɖe zãm akpa. Ðe esia nyoa? Madze ɖeka tsɔtsɔ kpee ɖe nye akplo me gɔme gbesiagbe. Ke tsilele ya ɖe? Ðe wònyo be woazã adzalẽ le afima? Nukatae tso ŋgɔgbe yi megbe? Nyemenya ema kpɔ o.","Mewɔ dzi be mawu nu njo manomano tɔe o. Yada wo yila, wòse na le do kwi nye me be wòle ge de zam akpa. De esi anyi a, wòdze de ka chocho pei de nye akplɔ me gɔme gbe si agbe. Ke chilele ya di de wo nyu be wòaza ajala afi ma. Nukata a tsu ngogbe yi megbe? Eme nya ema kpɔ o.",0.94,0.2905
4,"Nye menya o. Mebu eŋu be matutu nye agbalea ko, gake mehiãe be maƒo nu kple tɔɖinyeyɔvi siwo le duta. Mehiã kokoko be nàtutu wò agbalea o. Ènya be mɔ aɖewo li siwo dzi nàto akpɔ ɖokuiwò ta evɔ nàgalé wò mo ɖe tea?","Nyanya o, wele anwube matutu nya agbali aku, kaka me hiya ebe na kwunu kple todinye yovi si wo le duta. Me hiya akuku kuku ebe na tutu wu agbali aku. Enya gbe mo adewoli si wo ji na tu akpo do kiwota efo na ga le wu mu odeta.",1.0682,0.3455
5,"Ŋdɔ na wò, Tasi. Mele nyuie, ɖeko ɖeɖi te ŋunye vie le suku vɔ megbe. Ẽ, danye gblɔe nam vie, gake le nyateƒe me la, ena ŋu kpem.  Ame siwo le nye kɔƒea me gblɔna be enye dzesi be nyɔnuvi le nyɔnu zum, gake wogblɔna hã be ele be nàɣlae.","Metsɔ na wò tasi, mèle ŋui, dɔkita dɔnɔe vie le suku vɔ megbe. E, dɔe gblɔ na nam vie kake, dɔnya tɔpome la, ẽe, nam wòkpɔ. Amesi wòle ŋui kple wò gblɔ na be, ẽe, yejesibe nyonuvi le nyonuzui, kake wògblɔ na ha be, ele gbe na hli.",0.74,0.3409
6,"Nye me di be vinye na tsi abe nye ene, anɔ agbagba dzem anɔ ŋukpem o. Ne me fɔfu la, ɖe ema fia be wo ɖoe be ma nye amedahe tegbea? Ke ŋukpe lae, aleke ma dze ŋgɔ xɔ̃nye wo? Ɖeko mesusu be meyae wu nyuie. Ne ɖe nye me ɖo toe o la anye ne enyo ŋutɔ.","Ye me tsi be vinye naci abenye ene, ano agbagba jem ano kpem oo. Eme fo fu la de emafia be odo ebe manye amedahe tegbe a. Ke wu kpe lai, aleke ma je ngoho nye oo. De ku mesusu be me nye wu nyi ne de nye me do to eola anye ne enyo nto.",0.7241,0.1978
7,Mesusu be ame geɖe siwo le afisia menya ema o. Àte ŋu ava ƒo nu kple sɔhɛwo ƒe ƒuƒoƒo si le sɔlemexɔa mea? Woaɖo to wò. Ðeko medi be etsɔme nyui aɖe nanɔ xɔ̃nyewo si. Ðe wòle be míaƒo nu tso gbɔdɔdɔ ƒe dɔlélewo hã ŋua? Nyɔnuvi aɖewo vɔ̃na be yewoabia nya.,Masese be amagade si o lafisia na enya ema wu atenuava kwunukpule sohi wu kpe fofofo si le solemekpo ama. Woro ato wu le komeji be echoma nwiari na na okhonye osi riwele be mia kwunu cho gbadodo pe dolele wu ha nu a ya onu vi ade wu vona be yowa bi ya nya.,0.9615,0.4031
8,"Mezãa internet tsɔ wɔa numekuku tso nyatiwo ŋu na nye dzɔdzɔmeŋutinunya ƒe klass, gake zi geɖe la, menɔa hadomenyatakakadzraɖoƒewo le dze ɖom kple xɔ̃nyewo. Ema ɖi nya sia be esɔ. Smartphone le nye klass ɖesiaɖe si fifia, eye míezãnɛ na nusianu kloe. Le nyateƒe me la, ẽ.","Mía za internet tsoea nu mepupu tso nyatia unu na nye jọjọma nti nu nye akpa class. Ga ka zi gelea, me nua ha do me nya kaka, tia rupe wu le je ru mple honyo wu. Ema ri nyasia be eso, smartphone le nye class le sia le si fifia, eyi mie za ne na nu sia nu kuli le nyatepe mala e.",1.0851,0.287
9,Menye dzimesesẽ wonye be na di be ya kpɔ wo ŋutɔ ƒe etsɔme ta o. Eƒo nu tso nya sia ŋu na nɔ woa? Nɔnye gblɔ be ye mateŋu atsitre ɖe fofonye ŋu o.Evɔ̃ na na nusi nutoametɔwo agblɔ ne nye me wɔ nusia o. Enya sia nye nya geɖe fuu.,Me nye dzinye sésé o nye bé na dzibé ya kpɔ wo ntofe écho meta o. Afonu tcho ya sia wu na no wa. No nye nglobé ye ma tinwu achi tcho edé fufu nye wu o. Evona nanu si nu tua méto wu agblor né nye me wo nu sia o. Enya sia nye enya gede fu.,0.9216,0.314
