sample_id,reference,hypothesis,wer,cer
0,"Awia pa auntie. Ayɛ den kakra, sɛ mɛka nokware a. Mete nka sɛ biribiara reboaboa ano wɔ me so ara kwa. Ɛyɛ me wofa.","Good afternoon, auntie. It has been a bit difficult, to be honest. I feel like everything is just piling up on me. It is my uncle.",1.0417,0.9655
1,"Ampa, mmarima no bi wɔ hɔ a, wɔmmɔ nne mu, ɛreyɛ dũ wɔ wɔn ho so, ɛreyɛ den. Nanso mmaa no deɛ, wɔmmɔ ayɛ dinn ase sɛ yɛde mmra ahyɛ wɔn so. Me maame ɛtaa ka sɛ me nua baa no deɛ ne ho dwo, ɔtena fie, ɔboa aduane yɛ, ɔnkasa entia mpanimfoɔ.","Ampa, mmaa no bi wɔ hɔ a, ɔmu ne mu wuiɛ du na ɔmu hu nso ɔyɛ dɛn? Nso mmaa no de, ɔmu ayɛ dɛn? Asɛ yɛde mmra ahyɛ ɔmu so. Mmaa me ɛtaa ka sɛ, me nuabaa no deɛ ne ho jɔ, ɔtenatena fie, ɔbue aduan ne yɛ. Ɔnkasa nti ampenimfoɔ.",0.5472,0.2768
2,"Mmerɛ bi ah menante afa me sukuu dan na mefa mesukuu dwumadeɛ ɛma no, ɔka nnoɔma fa me nnipadua ho. Na ɔka nnoɔma ah ɛmma meho ntɔ me. Teseɛ senea me yɛ obaa ntemtemso. N menfa madwen ɛmba ne so ɛkyɛn me sukuu nkrata.","Mewɔ akwadaa bi a me na nti afa me sukuu dan nkyɛn, anaasɛ sɛ me di sukuu dwumadii ɛma no. Ɔka nyansa fa me nipa eduane ho na ɔka nyansa a ɛma me ɛma me ho ntom. Tesɛ sɛ me yɛ obaa ntenten so na me mfa m'adwene mpaa ne so ɛkyɛn sukuu kaada.",0.7727,0.3728
3,"Nanso ɔseree na ɔse aduane noa yɛ mmaa adwuma. Na me sɛe mmerɛ wɔ agyaade a, yennhu me sɛ meyɛ abranteɛ a mewɔ ahoɔden anaa tumi wɔ mpɔtam ha. Menim sɛ ɛnyɛ nokorɛ. Hwɛ ahenfo akukudam a ɛwɔ Nkran anaa mmaranteɛ a wɔnoa aduane ɛtɔn.","Nanso sei no sei, eduane nnoa ɛyɛ mmerɛ aduma. Na me sei mmere ɛwɔ gyadua, yɛnhu me sei me abrantie a mewɔ anhoɔden ana tumi wɔ mpɔtam ha. Me nim sɛ ɛnyɛ nokware. Hwe ahiafoɔ ekuku dam ɛwɔ nkran ana abrantie a wɔnua inua ne etɔn.",0.7111,0.2623
4,"Yɛbɛtumi akasa afa sɛnea yɛbɛsi aka daabi? Ɛtɔ da a ɛyɛ a na ɛyɛ den esiane sɛ mmarima no, ɛyɛ a na wɔmpenee. Ɛyɛ me dɛ sɛ ɛnyɛ me pɛ na meredwene saa nneɛma yi ho. Na wɔtwe a ɛreba yi mɛsan aba bio.","Ebetumi akasa afa sɛne ebesi aka daabi. Ɛtɔ daa, ayɛ a na ɛdin, esiane sɛ mmarima no ayɛ a na wɔn gyepene. Ɛyɛ me dɛ sɛ, ɛnyɛ me pɛ ɛna me jeans a na emanyi hu. Na wotwen ebei, mesahamba bi.",0.5455,0.2517
5,"Me ho ato me asiane sɛ yɛredi adeɛ yi ho nkɔmmɔ. Dɛn na ɛwɔ sɛ meka sɛ obi pɛ sɛ ɔhyɛ me so ma meyɛ adeɛ a mempɛ sɛ meyɛ? Sɛ mpo wanyin sene me a. Ɛyɛ a na nkurɔfo kasa sɛ obi ka sɛ daabi a, ɛmpa nkyerɛ sɛ daabi. Medaase, wɔfa. Yebetumi ahyia bio ɛbɛnada?","M'aho tɔ me esiane sɛ yɛdi adeɛ yi nwɔnkɔmɔ. Then na ɛwɔ sɛ meka sɛ obi pɛsɛ ɔhyɛ me so ma meyɛ adeɛ a menpɛsɛ meyɛ a. Sɛ mpo wenyi nsim a. Ayɛ a na nkorɔfoɔ ka sɛ, sɛ obi kasa daabi a, ɛmpa nkyerɛ sɛ daabi. Meda ase wɔfa. Yɛbɛtumi asie bi mu. Ɛbɛna daa.",0.5263,0.1728
6,"Wɔte nka sɛ wayɛ ankonam na osuro sɛ wɔbɛba sukuu mpo. Akwan bɛn na wɔbɛfaso ""Aunty""? Daabi a wɔbɛka no, ɛnyɛ mmerew berɛ nyinaa, berɛ a obiara reyɛ adeɛ a ɛnteɛ. Me pɛsɛ me yɛ Ɔkyerɛkyerɛfoɔ dabi, nti mɛ bɔ mmɔden sɛ metwi me ho afiri ɔhaw mu, mɛ bɔ mmɔden sɛ mɛkɔso de madwene asi biribi so.","Woti nka sɛ wayɛ ankasa na wosuro sɛ wobɛba sukuu mpu. Akwanya bɛn na wobɛfa so anti? Daabi a wobɛkanu, enyɛ mmerɛ bre ni na bre a wobiara reye adeɛ a entia nu. Mepɛ sɛ meyɛ ɔtreetwear for dabɛn. Enti mebɔ mɔden sɛ metrɛ me ho efri ohaw mu. Mebɔ mɔden sɛ mekɔ so di me aduane esi biribi so.",0.7069,0.2566
7,"Sɛ wɔantie ntɛm mpo a, na woreyɛ ahokokwaw a wode bɛbɔ wo ho ban no ho adwuma. Ɛno yɛ asetra mu nimdeɛ a wotumi de kɔ baabi foforo. Mansusuw ho saa da.","Even if they do not listen immediately, you are practicing the skill of self-advocacy. That is a transferable life skill. I never thought about it like that.",1.0,0.9052
8,"Mendwene ho sɛ kuro no nyinaa bɛsesa anadwo baako mu. Nanso metumi de m'abusua hyɛ aseɛ, Mepɛ sɛ mehunu sɛ wodwene sɛ metumi ayɛ ade kɛseɛ.anaa. Na ɛtɔ mmerɛ bi a, saa ɔhaw yi ayɛ sɛnea ɛso sen nnipa baakofoɔ. ɛna ɛnonte ɛmma no nyɛ ankonam.","Me nso mehuu ne sɛ odoyɛfoɔ no tumi ayɛ adekesia na ɛtɔ mmere bi a, saa ""how are you"" ayɛsɛm no asu sɛ nnipa baakofoɔ. Ɛna ɛno nti, ɛmma menye nkutoo.",0.8043,0.5798
9,"Ɔ susuw sɛ, sɛ mmeawa de wɔn ho dodow a, mpontam hɔ foɔ bɛ hwe ase. Me susuw sɛ wɔgyedi sɛ, ɛsɛsɛ nneɛma yɛ saa efirisɛ na ɛte saa berɛ nyinaa. Wɔde atetesɛm di dwuma sɛkyerɛn de ma nkurɔfo yɛ komm. Yɛde hwɛ a, yɛhwe so na afi ase.","Wosusu se, ɛyɛ me awadeɛ wonhodo dodo a, ɛmpontu mpo firi ase. Wosusu se ɛyɛ gyidi se, ɛsɛ se nneɛma yɛ saa efiri se na ɛte saa berɛ nyinaa. Wode atetesɛm di dwuma, sεkyerɛ me, de ma nkrofoɔ yɛ komm. Yɛde hwɛ a, yɛhwɛ su na efiri ase.",0.6122,0.2457
