sample_id,reference,hypothesis,wer,cer
0,"Bi din baar naasubure, ki be tiŋ na kur po. Li naasuut din yab ki gar naasuut nba kur mi baar, ki bia yab gar naasuut nba kur saa mi baara.",በደንባና ሱቡሬ ከበተንና ኩልፖ ልናሱድ ድን ያብ ከጋና ሱተንባ ኩልምባ ከብያ ያብጋርና ሱተንባ ኩል ሳምባር,1.0,1.0
1,"Yii mei Yennu batnba nan binba kur tee yikoo damm na paak, a tii be nan laafia nan parmaasir, kii tee yentina, kii be soonna.",Yii mee yii noo batam baa na mbe baa koo tee yii koo dam napaa. Atii yii bee laafia na mpalmaasiri. Kii tee yii ntinna kii bee soo,0.92,0.3402
2,"Ŋaan i ki sikin i mɔŋ nan dinna. I ki turin baakir, koo ki wei sennii nba kur ki n tur yimm nan i yeejamm na.",Naa ekasakaa e maang na danna ekoturum baakul ko ku weysenne mbaakul ka entul yem na iya jamna,1.0,0.4444
3,"Wunba dɔŋ pot u punn ŋaan tan teen Masiaweirɔ, ŋaant ki wun dian nna; wunba mun ki pot ŋaan teen Masiaweirɔ, wuu kii loon u ji daa porii u punni.",Ụmụ mba ọzọ pụta ụbọchị na-antị ma si ewere ya dị ka omenala. Ụmụ amaala nke pụrụ na-antị ma si ewere ya wụ ka ilu oji dị apụrụ ụbọchị.,1.0,0.6339
4,"Tingbouŋ, gbiintir. N baat nan boontue niib na paak, ki li sii tee bi biit tubdatu, kimaan bi yêt n tumiiue, ki bia ki gaar n maan.","Tupu m gbie ntị, a na m agwa unu okwu a n'ebe na-adịghị anya. Ka m si na ebe bịa, tubi datụ, ka m bịa bịetụ mụ na unu wee ka bịa ka gaa mma",1.2963,0.6566
5,"Li-i tee ki i lakin leeb ki di, li ki tee ti Yomdaanɔ jeet kaa ki i dii.",die tier,1.0,0.8846
6,"Li tee yoo kur mɔlor nyinne ki tur yimm Israel teeb nan min, kimaan min Yennu-e nan sanpaak nan tiŋ, daa ŋanloob na ni, ŋaan nyik toonn ki foi daaŋanlore daar.”",Let's hear you call my name.,1.0,0.8871
7,"Yoo nba ki n loo dindouŋ ni na, ki Yennu maan ŋamm baar n boor.",Ihe omume a bụ nlegharị anya nke ihe omume a na-eme kwa afọ.,1.0,0.7872
8,"ki Netanel, wunba tee Suar bija na tee Isakar booru ni tɔɔndaanɔ,","Nataniel, umuete so abuo jere na isi aka aburo ni tuo ndano.",0.9167,0.5385
9,"Neria bija Baruk-o beta a fan pak linba na ki jiin ti po, a Babilonia teeb na n la nyannu ti paak, ki kpit, koo ki soorit ki saan nant Babilonia.”","N'ebe a, Baruko beta afa mpaghara mba ana ka ji ntepo a Babylon tiep na nla nyanu teep ak ke kwet kwa ka suoro kasa nna Babylon",0.871,0.3727
