sample_id,reference,hypothesis,wer,cer
0,Nyini n-zali tɔrili ni o yiɣimi du zuɣusaa katiŋa.,"Niranzetwale, noye madozu sakata",1.0,0.525
1,"Bɛ ni daa wum Judas ni yɛli shɛm maa, ka di niŋ ba nyaɣisim pam, ka bɛ lo o alikauli ni bɛ ni ti o liɣiri.",Bɛ daa wum Judasi yɛli shɛm aa? Ka di nyɛla namba nyɛ simpa. Ka Bulo alikawuli na beni toli,0.6923,0.3077
2,Bɛnkam tumdi dimbɔŋɔnim’ kul ku vuui bɛ zaashee.,"Bɛnkam tum na dimbonim, kulukuvui, bazashe.",0.875,0.2564
3,"Ka Naa Hɛrɔd daa wum lala maa ka yɛli, “N ni daa ŋma Jɔn Baptaizira so zuɣu la n-lan neei kum ni na maa.","Ka na heri da wulakanci ma ka yale. Nida maza John Baptist da Sosola, lafiya lau muke mana.",0.9167,0.5065
4,"A shiri mi, dama di saha bɛ daa pun dɔɣ’ a.","Achi mi, dema de saha, bira pun dwa.",0.7273,0.3333
5,"Ka Naawuni zaligubaŋdib’ mini Farisiinim’ daa kpahindi Yisa ni bɛ nya o ni tib’ o Vuhim Dabisili dali maa bee o ku tib’ o, dama bɛ daa bɔri ni bɛ nyala o taali ka fiɣis’ o.",Ka na wulzali gbaŋdu mini farasi nim daa kpaandi yisa. Nima nya o ni tubu ofu dabsili dalma bee o ku tubu. Dama bada buori nima nyela o tale ka,0.6944,0.2923
6,Bɛ ni yihi kuɣa din daa di buɣim tampuya saɣiri la ni me?,bɛnɛ yɛn koraa dindali juma tampuya sa'a la ni mi,0.7692,0.4091
7,"O daa zaŋ o yiko n-kari zuliya shɛb’ bɛn daa galisi ka mali kpiɔŋ gari ya, ka zaŋ ya na ti zaŋ bɛ tiŋgbɔŋ tin ya, ka yi su li kaman di ni nyɛ shɛm zuŋɔ dabisili ŋɔ.",,,
8,Pa nyin’ n-nyɛ ŋun su zuliya kam zaa nam fukumsi?,"Bɛn yina nyɛnsu, Zulia Kamza na fukumsi",0.9,0.2162
9,N chɛ ka baɣisi leei jɛra.,Dindali di tuoni jam le. Dindina. Iri muotampiligum di so. O so ni tiam buruguma.,2.5,2.7
10,"Amaa ka Naawuni nira daa chaŋ naa maa sani ti yɛl’ o, “N dan’ naa, di chɛ ka Izraɛl tɔbbihi ŋɔ pahi dol’ a chaŋ, dama Yawɛ ka Izraɛlnim’ bɛn nyɛ Ifriim zuliya ŋɔ zaa so sani.","Ama kana wuni dachɛnna, ma santi yɛlo. Nda nna, di chɛka Isa tobi hiŋo paai tɛlɛchan. Dama Yawe ka Isa nimbɛnɛ ifi zuli yɛn'o zaa soŋsani.",0.8919,0.3023
11,Ŋuna n-simdi jilima tibu mini yiko subu hal ni saha din ka bahigu.,"Mina sam na jilma cebo, mina yi kwa subo, hal na sahadan ka ba",1.0,0.3846
12,"Ka di daa ti lu Vuhim Dabisili dali yaha ka Yisa lan kpe Yɛhudianim’ jɛmbu duu ti wuhiri niriba, ka do’ so ŋun nudirigu bɔɣu kpi daa beni.","Karachi lufum dabsili delya, ka yi salankeyo diyanum jambudu nti wuri niriba. Ka doso wonu dirigu bogo pida biyanu.",0.8929,0.3271
13,ka dabiɛm mini niŋgbuŋ sɔhibu daa paai ma din daa dam n kɔba ni zaa.,Kadiyamne nan gwan su sabo da fama da dam in kwabane za,0.9333,0.5283
14,Hɔdia so mi ni Hashum ni Bɛzai ni.,"Naa Hudu, Naa Hashim, Naa Bejai, Naa",1.0,0.6538
15,n yi n-zan’ a zuɣu.,N'tua ka gupie ngara. Na ma botum ala,1.6,1.75
16,"Dinzuɣu ka bɛ daa yɛl’ taba, “Di chɛliya ka ti chee’ li, amaa chɛliya ka ti tola tɛte n-nya ŋun yɛn di li.",,,
17,"Dama a yɛliya, ‘M biɛhigu nyɛla din be kasi.","M'diema, ayɛli a? M'diako nyɛ di m'jeka",1.0,0.4848
18,amaa o ni kari ninvuɣ’ biɛri bɛn’ bihi bahi.,"Amaa, o ni ka ni nvo biari, ba nbiɛh ba",0.7778,0.303
19,"” Yɛhudianim’ bɛn mini ba daa be m-miri taba ni daa kana, bɛ daa yɛli ti siɣimsiɣim bupia, “Ti dimnim’ maa ni yi bɛ ni be luɣ’ shɛlikam zaa kana ti liri ti.","Yahu diyanam ban murna ba, da biyan murtani da akana. Bura yate, sansan bu pia. Tudimna ma ni yi, binu biya luwusa kamza akana tilerti.",0.9375,0.4174
20,Bɛ ni daa niŋ kpam ŋmiri zim viɛl’ shɛli ni bɛ zaŋ mali chi sara daa palila bina ayi maa.,"Bɛnɛ daa na kpa m gbarigim bia shɛli, nɛbɛsa mali chisara daa pala bɛnɛ ayi maa.",0.7,0.25
21,O yaannim’ shɛba n-daa lan nyɛ Hazaaya mini Adaya ni Joyarib ni Zakaria so mi bɛn daa nyɛ Shilo daŋ ni niriba la.,"Hazaaya, mini addaya, ni jooyari, ni Zakariya Sumi, Bandanya Shilo, Dan Niribala.",0.7826,0.375
22,Yawɛ ni yɛl’ shɛm m-bɔŋɔ: Ŋuna ŋun nam zuɣusaa ŋɔ.,"Ya wani yayi shan boo, nwinin nwan nam zusa",0.9,0.5946
23,Di saha ka niriba maa zaa daa saɣi ni bɛ lan zaŋm’ daba ayopɔin puhi chuɣu maa yaha.,"Gani maza da sai, ni bula zan, da bayo poy poy, samaya.",0.9444,0.5231
24,Ka ŋuni n-lee ni tooi be Ziɔn a daboli din be kasi la zuɣu?,"Ka nwunye na-eto ya, zayon adabere, di m bia kasịla zụ.",0.9286,0.5682
25,"Dama bɛ daa bi tooi puhi li di puhibu saha, maligumaaniba bɛn daa mali bɛmaŋ’ be kasi kalinli ni daa bi paai, ka niriba mi daa bi laɣim Jɛrusalɛm na la zuɣu.","Dama, birabito pɔle ta poba sa. Ma gmani ba banda meli ba ma bi kasi, ka lenu ra na ba pay. Can you read the book of Lamentations?",0.9375,0.5656
26,Ahia ni Hanan so mi ni Anan ni.,Naa hiya. Naa naan so mi. Naa anaan.,0.875,0.4348
27,"Ka Ɛhab daa kɔri piɛri mini niɣi pam n-niŋ o mini bɛn daa kana saani, ka daa balim o ni o chɛ ka bɛ chaŋ ti tuhi Ramɔtigiliadnima.","Ka haavda kwarpiɛl mini nyɛpam, nnoɔmini banki taakana saani. Ka raabelmu nooche kabuchantu tui remoti giladima.",0.8571,0.33
28,"N daa nyɛla nachimbila, ka pumpɔŋɔ n kurigiya.",Ndaŋ yela n-chimbla. Kapunpoŋ kurugu,1.0,0.3514
29,"Ka bɛ daa chaŋ ti ŋma li n-zaŋ niŋ pɔŋ ni na ti ti bipuɣiŋga maa, ka o daa zaŋ li nti ti o ma.","ka m ba cha, n tuma le zani n pon na, n tuma tebe puong ma, komi zani le te tuma",0.92,0.5373
30,Ka ninvuɣ’ so ŋun daa piɛbiri kikaa gba daa kul baɣi ma.,"Ka ni nvo songu nda, piaburu kakagba, daakul baa",0.9167,0.3023
31,"Nir’ yi chaŋ kumsi ni be yil’ shɛli, di so ni o chaŋ dimma ni nyubu ni be yil’ shɛli.","Niri yɛn chankum si na biɛ yiri shɛli, di so no chankum di ma ni nyuwo na biɛ yiri shɛli.",0.75,0.3607
32,O bela nimaani lihiri bɔr’ o ni yɛn gbaai binshɛli di.,Wuntani nimbani nira buara wuni yangu abin sheli,1.0,0.5476
33,"” Ka bɛ bɔh’ o, “O be ya?","Bɛnɛ bɔnɛ zosayi sala, n gata nkpazɛn jɛn nina ma, ka yɛlmanɛ chɛmsalon biɛla ni, n ta pa nina ma. Ka n chɛ n ta paayi, ka nina ma di ne. Ka bo bo, obe",4.8571,7.8462
34,‘Bɔzuɣu ka yi kul tɔɣisiri n zaligunim’ yɛla sahakam?,Wazo kaikulthosre nzali gundam yela saka.,1.0,0.4048
35,Dimbɔŋɔ zaa nyaaŋa ka Yawɛ daa chɛ ka dɔr’ shɛli din ka tibbu gbaag’ o nyɔri.,"Dimoosa nyara, ka yaa wɛda chee ka doro shee din ka ti buga wa onyuara.",0.75,0.4068
36,"Dama o ni daa yi nimaani ka o mini Jɔram doli tab’ chana, ka bɛ daa chirigi Nimshi bia Jɛhu, Yawɛ ni daa zali so ni o kum’ Ɛhab daŋ ni niriba zaa la.","Dama, nna da yi nimani, ko mini jorom doyi tabchena, ka da chirigi nimsi biye Yehu. Ya wenira Sayesu, nokwu ehab tan ni ni bisala.",0.8235,0.3153
37,"N daa ti a yiko ka a wurim bɛ ni me goma gili tin’ shɛŋa, ka di leei dabari.",ka wuri mbinu mi goma galite nshanga ka rili da,0.8421,0.4909
38,ka zaŋ tiŋgban’ shɛli din ka kulim ti ba ni di nyɛ bɛ biɛhigu shee.,"Ka n zan tin gban shedi n ka kulum Tuba, ni rin ya bu biya gushie",0.9333,0.2941
39,"Ka Izraɛl Naa Ɛhab daa bɔhi Juda Naa Jɛhɔshafat, “A ni pahi n zuɣu ka ti chaŋ ti tuhi Ramɔtigiliadnima?","Ka Izaana Ahab, dabba Judah na Jehoshaphat. Ani Panzro, kati chantu tui,",0.95,0.4691
40,"“Ka yi daa vu m-mirina ti zani zoli maa gbini, ka zoli maa daa taai buɣim n-kpuɣi du sagbana ni, ka sagbana daa zibigi lim li.","Ka daa fummirna, ti zali zuelma gbunni, ka zuelma da taa bu'um, n kpi'i dusa gbanne, ka sa gbanne da zibigilim",0.8077,0.2947
41,dama bɛn tuhiri ma maa galisiya pam.,Dema bɛn tura ma? Ma galsi ya pa.,0.8571,0.2414
42,"Bɛ daa yi puhi chuɣu maa naai, Ayuba timdimi ka bɛ chaŋ ti mali ba ka bɛ niŋ kasi.",M'dahi palli. Choma nayi. Aji watam de me. Kawucha tumal ba. Kabu nokas,0.9474,0.4355
43,"Amaa bɛ daa sɔɣ’ o, dama bɛ daa yɛlimi, “O nyɛla Jɛhɔshafat ŋun daa jɛmdi Yawɛ ni o suhu zaa la yaaŋa.","A ma abrazo. Tama, brayel mi. O nyɛla jeobishafal, n-wuuda jem ni yaawe na osu zaala yaa.",0.8636,0.3947
44,"Ka o nyaandoliba maa daa chaŋ fɔŋ maa ni nti shiri nya Yisa ni yɛli ba shɛm maa zaa, ka mali Yaɣigari Chuɣu maa bindirigu dibu shili.","Ku nya dolma da cha faamani, nti si nya nyɛ sani yɛlba cha maza ka mɛ yagar choma abɛndirigu dibu sheli.",0.8519,0.3333
45,Ka bɛ daa yɛli Ɛzra ŋun daa nyɛ zaligubaŋda la ni o zaŋm’ Musa zaligu litaafi shɛli Yawɛ ni daa zaŋ ti Izraɛlnim’ la na.,"Ka bɛn a ye Ezra, wanda ye zaliwubangela, n'o zangumusa zaliwuli taafishɛre, ya wani la zanti Ezra namala.",0.96,0.3441
46,"M biɛhigu din ka buchi ŋɔ puuni, n nya binshɛɣukam zaa.",M biya gudun kabuchi wa fu ne. M ya bin shakam za.,1.0,0.3488
47,"Di zaa ŋɔ shɛli bi simdi niŋbu, amaa din simdi niŋbu nyɛla wumpaɣibo.",Ama,1.0,0.9455
48,"Ka o daa mali Ɛlat me n-ti Judanima, Naa Amazia kalinsi maa nyaaŋa.",Kooda mali elatimi nti Judaima na amaasi a ka lisima nyana,0.9231,0.25
49,ka bɛ daa kul dɔɣi ma n-zaŋ ma ti niŋla gballi ni.,Ka bɛɛ kul duoma? N sangum tunna la gbaalila,0.8333,0.4595
50,"Ka Jɛhɔshafat daa faai siɣ’ o yaannim’ sani, ka bɛ sɔɣ’ o o yaannim’ siliga ni Dauda tiŋ’ la ni; ka o bia Jɛhɔram daa di nam zan’ o zaani.","Ka Jo shafaada faasi, o yaa nim sani. Ka bi so, o yaa nim siri ka ni, daura tingbani. Ko bii, Jo haram, daadi nam zani o zaani.",0.7667,0.23
51,A pun wum Asiria naa ni niŋ tiŋgbɔn’ shɛŋa shɛm ni o ni saɣim li zaa shɛm yɛla.,A puom. Asiri na ana nno nte ngba nsi asiam. Na one sam le za siam ya,0.9444,0.4333
52,"Ka so mi bi nyɔri firila n-zaŋdi lɔɣu pindi li, amaa o naɣ’ ni zaŋ li mi tam binshɛl’ zuɣu ni di ne sokam zaa yili maa ni.",Ka so ni ma nyarifa la zani laa pen de le. Ama o na zani la mi. Ntam be se zo. Neri neso kan sa yilma ni.,0.8571,0.4333
53,Ti ku chɛ ti Naawuni jɛmbu duu maa bahi.,Tukpeche tunawun jambuduma bae.,1.0,0.3871
54,” Di saha ka tɔbbihi maa daa chɛ bɛ ni gbahi shɛb’ maa mini bɛ ni daa di neen shɛŋa na maa zaa zali kpamba maa mini zama maa zaa tooni.,"Ti sika tobi ma dache, mini gba shoma, mini beni da di ni nsha na ma zazeli, kpam ma mini za ma za toni.",0.8667,0.3431
55,Di tuhiya a sani ni a niŋ a ni zaŋ a nuhi.,dettoya assani naannim anezan annu,1.0,0.4333
56,ka bɛ zaŋ wɔɣira maa chaŋ ka di pala daadam nuu n-niŋ li.,Ka ba zan wara maccen karfe da damnu,0.9231,0.5349
57,"Nimaani ka bɛ daa kpah’ o tabili dapulli maa zuɣu, ka daa kpahi niriba ayi gba tabili dapula n-zaŋ sa m-pahi Yisa zuɣu: Yino o nudirigu polo, ŋun’ la mi o nuzaa polo, ka Yisa daa be bɛ sunsuuni.","Ndi be anyi, ka Chineke gozie unu. Ka o gaa n'ihu na-agba unu ume ka unu na-arụ ọrụ ọma mgbe niile.",0.9487,0.7619
58,Bɛ ni daa niŋ kpam ŋmiri zim viɛl’ shɛli ni bɛ zaŋ mali chi sara daa palila bina ayi maa.,"Bɛ na daanankpamngere, zemsi ya shɛli, naaba zaa maa echi sara daa pali la bɛ na yima.",0.85,0.2941
59,"O ni wuhi ni o yur’ a shɛm ŋmanila zana mini tɔŋ, ka o nuhi nyɛ bandi.",O ni wo nu o yura shem. M'anle zena m'an ton. Kwa nu nye ban,0.8235,0.3922
60,"” Ka o teei li, ka di dii kpaŋ zaa.","Kangal guli, baza tuutaba, tayal doma, tema numa, kocele, kardi panza.",1.2222,1.913
61,"Luɣ’ shɛli Yawɛ ni daa yɛli, “Di kunya bihi banima bɛ bihi taali zuɣu bee n-ku bihi bɛ banim’ taali zuɣu, amaa di simdi ni sokam kpila omaŋmaŋ’ taali zuɣu.",,,
