sample_id,reference,hypothesis,wer,cer
0,"Akon mɔ a don mɔ-abaa so mɔ, nengyene fɛɛ ɔ nyɛ akuuri mɔ ilaa gyisɛ gbaa mɔ, nkana ɔ kya laarɛ kyɔde. Imɔ gɛnen mɔ, ɔko mɛŋ kya sa mɔ imɔ iko‑rɛ iko.","akụkọ mụ adịghị mma sọọsọ na-enyeghị onye akụrụ mụ ileghị anya n'azụ mụ, nke na ọchala arụ chọrọ ịmara nụ mụ ọkụrụ mụ ncha asọọ mụ ịma akụrụ",1.0,0.6937
1,"Imɔ‑rɛ imɔ gɛnen gbaa mɔ, Wurubuaarɛ gi kii kyingi mɔ. Ɔ lɛɛ mɔ lii lɛwu anyanyan dɔ. I kya nyiile yɛɛ iŋ bo no yɛɛ ɔ laa wuꞌ sii isɛ dɔ.","Ima na ị maghanị bamu, Ịrụbaala gị kịchịngị mọ. Ọ lee mọlị lewụ anya ya ndọ, Ịcha anyịle ya ị mbụ nọ ya ole awụsị ịsị",1.0,0.5784
2,Gɛnen kee ne fɛye-sɛ Wurubuaarɛ dɛ ne. Iŋ gyɛ mɔ-gɛlaarɛ yɛɛ apiipii adɛ dɔ ɔko ɔꞌ fuɛ Wurubuaarɛ ɔkpa mɔ de mɔ-ɔkyenaten Wurubuaarɛ asɛ ɔꞌ lii mɔ-gibaa.,Nani ke ne fa si uba da na? Inji magalaye a ppi adada okko ofe uba okkoma de mo chinaton uba se oli magba.,0.9259,0.595
3,"Nꞌ tɔgɛ fo yɛɛ mɔ-ilaa nyɛnyɛn ibono i nyaakyɔ ne nɛ kyu kyɛɛ mɔ mɔ ne n yɛgɛ ɔ nyɛ gɛlaarɛꞌ belɛ sa me faa. Isa ɔbono, mɔ, mɔ-ilaa nyɛnyɛn iŋ kyɔ ne ɔko gi kyu kyɛɛ mɔ mɔ, gɛlaarɛꞌ pi‑i ne ɔ laa nyɛ sa kaasɛ kee.”","Nta gi fị ya, ma ịlanyatụ ịbụrụ ịnyị achọ ịnochite anya mụọ na ịnyagị onye ga-anọchi anya mụọ. Ịcha ọbụrụ mụọ ma ịlanyatụ ị chọ n'okwu gị chie mụọ ga-anọchi n'ọlanyịsị ka asịkị",1.0,0.6772
4,‘Gɛŋ sa foꞌ daasɛ fo-Wura Wurubuaarɛ kerɛ yɛɛ ɔ laa wɔra fo-gɛlaarɛ sa fo.’ ”,Kansa fada fu wa wuba kray yola wura fula safo.,1.0,0.5263
5,"Meŋ bo ɔkpa de nꞌ kyu me-aterenbi kyu wɔra ilaa ibono n kya laarɛ mɔ? Abɛɛ fo wu me-gidɛnsɛ gibono nɛ wɔra mɔ, i kya loo fo daa?’ ”","Mụ bụ ọkadu ntụmatị m jiri wa 11 nchala arụmọ. A bịa fụ ụmụ nwanyị dị anọ dị na arụmọ, ịcha ruo ụfụda.",1.0,0.6771
6,"Me-sɛana, n kya ŋmarasɛ fɛye ɔwolɛ baarɛ n kya tɔgɛ fɛye",masta na in changi marasu fa ya wuni ba rai in cha chago fa,1.2727,0.6136
7,"“O nu gɛnen mɔ, ɔ sɔɔ ginyadon ne o kine yɛɛ ɔ maŋ baa loo gɛten dɔ. Mɔ-sɛ gi nu yɛɛ mɔ-bi belɛnsɛ mɔ gi sɔɔ ginyadon mɔ, ɔ lii kpe mɔ asɛ, ɔ kya buɛɛlɛ mɔ.","O nụga nụ mma. Ọ sọgị na-adị nụ ọkụ na-enye ụmụ m baịlụ ụka sịndọ. Ma sịgị na-enye mebị blaindị ma sọgị na-adị mma. Ọ dịkwa mma sị, ọcha gbaịlụ.",0.973,0.6518
8,"Owi ɔko dɔ mɔ Yesu kya dalaa mɔ wolɛ, ne mɔ-akasɛbo mɔ mɛ bo mɔ asɛ. Nfono mɔ ɔ taasɛ mɔmɔ yɛɛ, “Sakpii mɔ asɛ mɔ, menɛ nyamesɛ ne nꞌ gyɛ?”","Owu kụdị mọ, ị sị chaa dalụ ma wụlụ na ị mọ akasịbụ mọ ma bụ mọ asị. Ụfọdụ mọ ọ taa asị mọ ma ya Sekwị mọ asị mọ mana ya m sị na ị",1.1613,0.5545
9,"Gɛsintin mɔ, ɔtɛgɛsɛ mɔ gi koso, ne ɔ naa kyon kpe mɔ-gɛwi.",na o na achu nkwemeghe,1.0,0.7727
